,A5,AWS,Ag,Al,Applications,B,Be,C,Category,Co,Cr,Cu,DIN,DIN_W,Fe,HT_Temp,HT_Time,Hardness,Hardness_Scale,Heat_Treated_As,IE-20,IE-40,IE-60,ISO,Mg,Mn,Mo,N,Name,Nb,Nb+Ta,Ni,Ni+Co,Other,Others,P,Properties,Redry_Time,Redrying_Temp,Rm,Rp0,S,Si,Sn,Suitable_For,Ti,V,W,Zn,Zr,url
571,25.0,A.5.28: EG,,,"Weather resistant steels, art constructions, bridges, ovens, deco parts etc.",,,0.09,SAW Arc Submerged,,,0.45,8557: S2NiCu1,,,0.0,,,0,,,,,14171-A: S2NiCu1,,1.4,,,SA Corten,,,0.85,,,,,Submerged arc welding wire for weather resistant steels such as Corten and Patinax to resist long term corrosion against weather influances. SA Corten wire can be used with FL188 (or an other type depending on the requirements and application).,1,,,,,0.85,,"S235J2G3 Cu, S355J2G3 Cu, S235JRW, S355JRW, S235J2W, S355J2W, CORTEN, PATINAX 37, ALCODUR 50, KORALPIN 52",,,,,,http://www.ceweld.nl/en/product/sa-corten
572,,,,,"Hot working tools such as: Stamping dies and Continuous casting rollers. 
",,,0.15,SAW Arc Submerged,12.5,14.5,,8555: UP3-GF-50-CGRT,,,0.0,,48.5,4,AW,,,,14700:,,0.4,2.5,,SA CrCoMo-50 FCW,,,0.5,,,,,Very good corrosion resistance and high hardness due to the amount of „cobalt“ even at higher temperatures. High hardness achieved in the first layer and often used as economical alternative for „stelliting“ . Best to be used with FL 8111 welding flux. ,24,150.0,,,,0.7,,Hot working tools such as: Stamping dies and Continuous casting rollers. Alternatif for stellite,,,,,,http://www.ceweld.nl/en/product/sa-crcomo-50-fcw
573,37.0,AWS A5.14 ERNICR-3 (UNS N06082),,,"This strip is suitable for both electroslag (ESW) and subarc (SAW) process. Typical applications include cladding of vessels for the petrochemical, refinery and chemical industries
",,,0.1,ESAW Electroslag,,20.0,0.5,,2.4806,3.0,0.0,,,0,AW,,,,18274 - S NI6082 (NICR20MN3NB),,3.0,,,SA Nicro 600 strip,2.5,,67.0,,,,,"Weld metal deposited by SA Nicro 600 has high strength and good corrosion resistance, including oxidation resistance and creerupture strength at elevated temperatures.",1,,650.0,3.0,,0.5,,SA Nicro 600 is mainly used for ESW and SAW cladding of carbon steel to obtain corrosion and creep resistant layers. Go to FL 860 ESHC suifable flux...,0.75,,,,,http://www.ceweld.nl/en/product/sa-nicro-600-strip
574,59.0,A 5.14: ER NiCrFe-12,,9.58,Electro slag cladding jobs that have to resist extreme high temperature and for cladding steels or stainless steels to obtain a high temperature resistant surface against oxidation.,,,,ESAW Electroslag,,0.18,,1736:  NiCr25FeAl,2.4649,0.13,0.0,,12.0,2,,0.88,0.67,0.07,18274: S Ni6704 (NiCr25FeAl3YC),,62.14,,,SA Nicro 602 CA (6025HT) strip,,,25.3,,,,,Excellent welding properties with high buildup capacity and low dilution rate when combined with FL 860 ESHC. Excellent resistance against temperature cycling conditions upto 1200oC and carburized medias. Excellent fatique strenght and creep properties.,0,,24.0,0.18,,0.08,,"Cladding against high temperature, radiant heater tubes, furnace rolls, muffles in bright annealing furnaces (H2 atmosphere), rotary kilns, waste gas components, hydrogen production, methanol and ammonia synthesis, 2.4633, NiCr25FeAlY, Nicrofer 6025 HT.",0.04,,,,2.23,http://www.ceweld.nl/en/product/sa-nicro-602-ca-6025ht-strip
575,30.0,A 5.14: ER NiCrMo-3,,,"SA Nicro 625 is developed for welding and cladding nickel-based alloys such as alloy 625 or similar materials. This alloy can also be used for welding dissimilar nickel-based alloys to each other, to alloyed steels or to stainless steels and for joining 6% molybdenum super austenitic steels.. SA Nicro 625 is most commonly used in the chemical processing industry, pollution control equipment, marine equipment, nuclear reactor components, pump shafts. Also used in the aerospace industry for thrust reverser assemblies, fuel nozzles, after-burners and combustion systems.",,,0.04,SAW Arc Submerged,,21.25,,1736: SG NiCr21Mo9Nb,2.4831,0.7,0.0,,,0,,70.0,,50.0,18274: SNi6625,,0.5,9.0,,SA Nicro 625,,3.65,63.86,,,,,SA Nicro 625 is a solid drawn wire to be used for the submerged arc process in combination with FL 880 or FL 839 flux.,0,,740.0,440.0,,0.6,,"Nicro 625 is developed for welding and cladding nickel-based alloys such as alloy 625, 825 or similar materials. This alloy can also be used for welding dissimilar nickel-based alloys to each other, to alloyed steels, to stainless steels and for joining 9% Nickel steels., X10NiCrAlTi, 32-20H, 32-21, X8 Ni9, ASTM A 533 Gr1, 800H, Sanicro 28, 254SMo, inconel 625, UNS : N08926, N08825, N06625, N08020. DIN : X8Ni9, X1NiCrMoCuN25 20 6, X1NiCrMoCuN25 20 5, NiCr21Mo, NiCr22Mo9Nb W.Nr:: 1.4876, 1.5656, 1.4529, 2.4858, 2.4856, 1.4539,1.4547, 2.4660",0.4,,,,,http://www.ceweld.nl/en/product/sa-nicro-625
576,32.0,A 5.14: EQ NiCrMo-3,,,"This strip is suitable for both electroslag (ESW) and subarc (SAW) process. Typical applications include cladding of vessels for the petrochemical, refinery and chemical industries ",,,0.02,ESAW Electroslag,,22.2,,,2.4831,0.7,0.0,,,0,AW,110.0,,70.0,,,0.02,9.0,,SA Nicro 625 strip,,3.65,64.22800000000001,,,,,"Weld metal deposited by SA Nicro 625 has high strength and extreme corrosion resistance, including oxidation resistance and creerupture strength at elevated temperatures.",0,,750.0,460.0,,0.02,,SA Nicro 625 is mainly used for ESW and SAW cladding of carbon steel to obtain corrosion and creep resistant layers. Go to FL 860 ESHC suifable flux...,0.162,,,,,http://www.ceweld.nl/en/product/sa-nicro-625-strip
577,15.0,,,,"High temperature and creep resistant boilers, pipe work etc.. ",0.002,,0.075,SAW Arc Submerged,,2.3,,,,,740.0,2.0,,0,SR,100.0,,,S Z CrWV2,,0.8,1.0,,SA P-24,0.035,,,,,,,"Remarkable creep resistant micro alloy controlled alloy developped to offer high strenght and creep resistant properties at elevated temperatures. Combined with flux FL 155 excelent slag release will be obtained in single and multirun application, the neutral action of the flux offers reliable chemical annalisys to ensure the best possible creep properties. ",0,,620.0,520.0,,0.06,,"Creep resistant steels , 7CrMoVTiB, P24/T24, ASTM A213, pipe steel, P24/T24, ASTM A213",,0.15,,,,http://www.ceweld.nl/en/product/sa-p-24
578,100.0,SAE1008 / SAE1010,,,SA S275 can be used for cladding and build up layers before hardfacing or corrosion resistant stainless steel or Nickel based layers. ,,,,ESAW Electroslag,,0.757,,FeP01  St12,1.033,,0.0,,0.172,3,,0.335,0.17600000000000002,0.045,FeP01,,75.0,0.16899999999999998,,SA S275 strip,,,0.036000000000000004,,,,,Excellent weldabillity in combination with FL 860 ESHC with high welding speed and deposition rate. The weld seam shows a fine rippled surface free from inclusions and undercut.,0,,,,,1.51,,Buffer and build up layers prior to hardfacing and or build up layers prior to corrosion resistant stainless steel and Nickel based layers.,0.011,,,,,http://www.ceweld.nl/en/product/sa-s275-strip
579,16.0,,,,Suited for analogous and similar creep resistant steels in turbine and steam boiler construction as well as in the chemical industry. Recomended for long-term periods up to +650 °C,,,0.215,SAW Arc Submerged,,11.45,,,,,760.0,4.0,,0,AN,47.0,,,24598-A: SCrMoWV12,,0.775,0.8775,,SACW  CrMoWV-12,,,0.525,,,,,"Preheating and interpass temperature 40450 °C (austenitic welding) or 25300 °C (martensitic welding). Root passes should principally be welded in the martensitic range. Lower preheat and interpass temperatures are possible, yet must be approved by practical welding tests and process qualification tests. After welding cooling to 90±10 °C, followed by tempering at 760 °C for three minutes / mm wall thickness at least for 2 hours. Tempering, if specified, at 1050 °C for 1/2 hour/oil and annealing at 760 °C for 2 hours.",24,150.0,650.0,550.0,,0.275,,"1.4935 X20CrMoWV12-1, 1.4922 X20CrMoV12-1, 1.4923 X22CrMoV12-1, 1.4913 X19CrMoVNb11-1 (Turbotherm, 20 MVNb), 1.4931 GX22CrMoV12-1",,0.3,0.5,,,http://www.ceweld.nl/en/product/sacw-crmowv-12
580,20.0,A 5.9:,,,"-   Cap layers for joining refractory Cr-Al-Si steels. 
-   Cladding corrosion resistant overlays. 
-   Cladding heat resistant overlays (1100ºC) 
-   Cladding components in a sulphurous environment. 
",,,0.08,SAW Arc Submerged,,25.0,,,1.482,,0.0,,,0,AW,40.0,,,14343:,,1.0,,,SACW 329,,,4.0,,,,0.02,"Higher productivity, higher deposition rates and improved wetting properties compared to solid wires with comparable analysis. Attractive bead appearance without slag residues. Suitable for cladding and joining components against corrosion, higheat and wear resistance. Weldable with the SuArc process using Ceweld ® Flux FL 880. ",24,150.0,750.0,570.0,0.008,0.8,,"Cap layers for joining refractory Cr-Al-Si steels., cladding corrosion resistant overlays., Cladding heat resistant overlays (1100ºC), Cladding components in a sulphurous environment. 1.4710 G-X30CrSi6, 1.4745 G-X40CrSi23 TP433, 1.4712, X10CrSi6 502, 1.4762 X10CrAl24 TP443, 1.4713, X10CrAl7 502, 1.4773 X8Cr30, 1.4722, X10CrSi13, 1.4776 G-X40CrSi29 1.4724 X10CrAl13 TP405-CA15, 1.4820 G-X12 CrSi 26 5, 1.4729 , G-X40CrSi13, 1.4821 X20 CrNiSi 25 4 TP329, 1.4740, G-X40CrSi17, 1.4822 G-X40CrNi 25 4 TP329, 1.4742, X10CrAl18 430B-TP430 1.4823 G-X40CrNiSi 27 4 TP329HC",,,,,,http://www.ceweld.nl/en/product/sacw-329
581,,,,,"325-375 HB, hardfacing and rebuilding alloy for wornout wheels, rails, tracks, tires, conveyors, crossings, bufferlayers prior to hardfacing. Excelent wear and abrasion resistance against heavy impact and shock, good machinable with carbide tools
",,,0.07,FCAW Flux-Cored,,4.0,,8555: MF1-GF-350-P,,,0.0,,350.0,1,AW,,,,14700: ~T Fe2,,1.4,0.5,,SACW 350,0.1,,,,,,,To be used with neutral flux and basischity above 1.5. Suitable fluxes are FL 851 and FL 155,24,150.0,,,,0.3,,"Rails repair, crossings, concrete bars, crane, railway and tram tracks, conveyors and transport surfaces, tires, bucket and loader teeth, cruscher jaws, bufferlayers etc.",,,,,,http://www.ceweld.nl/en/product/sacw-350
582,35.0,A 5.9:,,,Rebuilding and cladding applications against thermal shock offering a fair corrosion resistance.,,,0.06000000000000001,SAW Arc Submerged,,13.0,,,,,0.0,,,0,,32.0,,,14700: T Fe7,,0.6,1.1,,SACW 410 NiMo,,,4.0,,,,,"High productivity, high deposition rates and improved wetting properties compared to solid wires with similar analysis. Attractive bead appearance without slag residues. Best to be used with welding flux FL 915",24,150.0,39.0,42.0,,0.5,,"Steel mill rollers, turbine components, shafts etc..",,,,,,http://www.ceweld.nl/en/product/sacw-410-nimo
583,,A5.9:,,,Cladding wear resistant overlays in steel mills and applications of the same kind.,,,0.08,SAW Arc Submerged,,13.5,,8555: UP 5-GF-40-C ,,,0.0,,43.0,4,AW,,,,14700: T Fe7,,1.0,0.5,0.1,SACW 410 NiMo N,,,4.3,,,,,"Higher productivity, higher deposition rates and improved wetting properties compared to solid wires with comparable analysis. Attractive bead appearance without slag residues. Hard facing alloy with excellent thermo shock resistance and increased hardness due to additions of Nitrogen. Best to be used with FL 915 welding flux.",24,150.0,,,,0.3,,"Steel mill rollers, hot rolling equipment, bars.",,,,,,http://www.ceweld.nl/en/product/sacw-410-nimo-n
584,,A5.9:,,,Cladding wear resistant overlays in steel mills and applications of the same kind.,,,0.07,SAW Arc Submerged,,15.0,,8555: UP 5-GF-50-CPT,,,0.0,,42.5,1,AW,,,,14700: T Fe7 (CPT),,1.1,1.0,,SACW 410 NiMoN,,,4.0,,,,,"Higher productivity, higher deposition rates and improved wetting properties compared to solid wires with comparable analysis. Attractive bead appearance without slag residues. Hard facing alloy with excellent thermo shock resistance and increased hardness due to additions of Vanadium and Niobium. Best to be used with FL 915 or FL 8111 welding flux.",24,150.0,,,,1.1,,"Steel mill rollers, hot rolling equipment, bars.",,,,,,http://www.ceweld.nl/en/product/sacw-410-nimon
585,,A 5.9:,,,Rebuilding and cladding applications against thermal shock offering a fair corrosion resistance and excelent resistance against thermal fatique at high temperatures.,,,0.1,SAW Arc Submerged,,12.25,,8555: UP 5-GF-50-C,,,0.0,,,0,,,,,14700: ~T Fe8,,1.5,1.25,,SACW 410 NiMoNbV,2.0,,3.5,,,,,"High productivity, high deposition rates and improved wetting properties compared to solid wires with similar analysis. Attractive bead appearance without slag residues. Best to be used with welding flux FL 915 or FL 8111",24,150.0,,,,0.7,,"Steel mill rollers, turbine components, shafts etc..",,0.15,,,,http://www.ceweld.nl/en/product/sacw-410-nimonbv
586,25.0,A 5.17: F8A4-EC-15.23: F8A4-EC-G,,,"Earthmoving equipment, offshore, drilling platforms, lifting, vessel building, transport, etc.",,,0.05,SAW Arc Submerged,,,,,,,0.0,,,0,AW,140.0,100.0,,14171-A: S 46 4 FB T3,,1.5,,,SACW 460,,,,,,,0.025,"Remarkable crack resistant weld metal in combination with very low hydrogen content. Therefore, suitable for the economic processing of fine grained structural steels upo 460 N/mm2 yield strenght. Excellent welding properties in combination with FL 155 high basic flux even in narrow gabs. Excellent wetting properties compare to solid wires that results in a bigger parameter range and improved deposition rate.",0,,590.0,460.0,0.02,0.3,,"

MaterialsshipbuildingUnalloyed steelsboiler steelspipe steels-Fine grain steelsAPI-standard
DINA, B, D, E, AH 32 - EH 36St 33, St 37-2 - St 52-3H I, H III, 17Mn4, 19Mn5St 35.8, St 45.8StE 210.7 TM, StE 445.7 TMStE 255 to StE 460X 42, X65, X 70

ENsameS185 - S355P235GH, P355GHP235T1/T2, P460NL2L210 - L445MBS235 - S460QL1X 42, X65, X 70


ASTMTypicalA 258 / A 516A 662 / A 387A 738 / A 612A 299--



 ",,,,,,http://www.ceweld.nl/en/product/sacw-460
587,20.0,A 5.22: ~T 327,,,"* Cap layers for joining refractory Cr-Al-Si steels. 
* Cladding corrosion resistant overlays.
* Cladding heat resistant overlays up to 1150ºC.
* Cladding components in a sulphurous environment.",,,0.07,SAW Arc Submerged,,25.0,,,1.482,,0.0,,,0,,40.0,,,17633: ~T 25 4,,0.7,,,SACW 4820 (1.4820),,,4.0,,,,0.025,The weld deposit shows excelent resistance against abrasion at elevated temperatures and can be easely machined. SACW 4820 should be welded with FL 838 subarc flux.,0,,750.0,570.0,0.025,0.4,,"

W.Nr:1.47101.47451.47121.47621.47131.47731.47221.4776

EN ASTM/ACIG-X30CrSi6G-X40CrSi23 TP433X10CrSi6 502X10CrAl24 TP443X10CrAl7 502X8Cr30X10CrSi13G-X40CrSi29

W.Nr:1.47241.48201.47291.48211.47401.48221.47421.4823

EN ASTM/ACIX10CrAl13 TP405-CA15G-X12 CrSi 26 5G-X40CrSi13X20 CrNiSi 25 4 TP329G-X40CrSi17G-X40CrNi 25 4 TP329X10CrAl18 430B-TP430G-X40CrNiSi 27 4 TP329HC



 ",,,,,,http://www.ceweld.nl/en/product/sacw-4820-14820
588,22.0,A 5.23: F7A8-EC-G / 5.23: F7P8-EC-G,,,"Offshore, Shipbuilding, pressure vessels, pipe work, cable drums.",,,0.13,SAW Arc Submerged,,,,,,,0.0,,,0,AW,,150.0,90.0,14171-A: S 46 6 FB T3Ni1,,1.2,,,SACW 500,,,1.0,,,,0.012,Micro alloyed submerged arc welding wire for offshore requirements upto S460 steels that have to fullfill impact requirements down t60 degrees Celsius and parts that have to be soft annealed above 900 degrees Celsius. Suitable for use with FL 155 agglomerated flux or with FL CS155 Fused flux.,0,,670.0,560.0,0.005,0.2,,"

MaterialsshipbuildingUnalloyed steelsboiler steelspipe steels-Fine grain steelsAPI-standard
DINA, B, D, E, AH 32 - EH 36St 33, St 37-2 - St 52-3H I, H III, 17Mn4, 19Mn5St 35.8, St 45.8StE 210.7 TM, StE 480.7 TMStE 255 to StE 460X 42, X65, X 70

ENsameS185 - S355-S460P235GH, P355GHP235T1/T2, P460NL2L210 - L480MBS255 - S500 (NL1,2)X 42, X65, X 70


ASTMTypicalA 255 / A333A 516 / A 350A 612 / A 707--



 ",,,,,,http://www.ceweld.nl/en/product/sacw-500
589,18.0,A 5.23: F 9 A8 – EC - G,,,"Crane, offshore equipment, boiler, pipeline and apparatus construction, foundries etc.",,,0.06,SAW Arc Submerged,,,,,,,605.0,1.0,,0,AW/SR/AN,,80.0,60.0,26304-A: S 55 6 FB T3Ni1Mo,,1.2,0.5,,SACW 550,,,0.9,,,,0.015,"Extremely crack resistant weld metal conditioned by the higbasicity slag in combination with very low hydrogen content. Well suited for the economic joining of fine grain structural steels with yield strength of Rp0,2 550 MPa (80 ksi). As welding flux we recommend our type FL 155, classification S A FB 1 55 AC H5.",0,,655.0,550.0,0.015,0.3,,"

Materials:fine grain structural steelsHigh grade structural steels---pipe steelssteels to API-standard
ENS315(NL1/2) - S550(Q/QL/QL1)15NiCuMoNb5 / WB 3620MnMoNi4-511NiMoV5317MnMoV6-4P355T1/T2 - P460NL2, L360 - L550MBX42, X65, X70, X80
ASTMA 516 / A 255A 333 / A 350A 612 / A 707----


.W.Nr: 1.6311, 1.6341, 1.5403, 1.0562, 1.8924,  NAXTRA 56, NAXTRA 63",,,,,,http://www.ceweld.nl/en/product/sacw-550
590,17.0,A 5.23: F11A8-ECF5-F5,,,"Crane-, rig, plant-, craft-, lifting and steel construction, pipe work, foundries",,,0.08,SAW Arc Submerged,,0.5,,,,,0.0,,,0,AW,,80.0,69.0,"26304-A: S 69 6 FB T3Ni2,5CrMo",,1.6,0.5,,SACW 690,,,2.2,,,,0.015,"Remarkable crack resistant weld metal in combination with very low hydrogen content. Therefore, suitable for the economic processing of higstrength and low temperature fine grained structural steels. Excellent welding properties in combination with FL 155 high basic flux even in narrow gabs. Excellent wetting properties compare to solid wires that results in a bigger parameter range and improved deposition rate. To obtain optimum mechanical properties the heat input should be kept below 15 kJ/cm and interpass temperature between 100 and 150ºC.",0,,835.0,6.0,0.015,0.4,,"StE 690.7 TM, L690M, A 715, StE 690 V, S690QL, A 709, A 515, A 517, EStE 690 VA, S690G1QL1, A 514, A 633, A 709 Naxtra 70, Weldox 700, Dilimax, Optim 700 mc plus, S620Ql1, S690QL1, S600MC, S700MC, Naxtra 63, Naxtra 70, TStE620, TStE690, Weldox 500, Hardox, L480 - L550, X65, X80, X90, X100, Hardox 400, XAR 400, Dilidur 400, 20MnCr65, 28CrMn43, Oceanfit 100, Ocenanfit 690",,,,,,http://www.ceweld.nl/en/product/sacw-690
591,15.0,A 5.23: ~F12A8-ECG,,,"Crane, automobile, equipment and steel construction, pipeline, foundries.",,,0.08,SAW Arc Submerged,,1.0,,,,,0.0,,,0,AW,,55.0,40.0,"26304-A: S 89 4 FB T3Ni2,5Cr1Mo",,1.6,0.5,,SACW 890,,,2.2,,,,0.015,"Crack resistant weld metal conditioned by the higbasicity slag in combination with very low hydrogen content. Well suited for the economic joining of high strength steels and cryogenic fine grain structural steels with Rp0,2 > 890 MPa (129 ksi). To reach the optimal mechanical properties, the energy absorbed per unit length of weld 15 kJ/cm should not be exceeded. The working temperature should be between 100°C (212 °F) and 150°C (302 °F) . As welding flux FL 155 should be used because of its high basicity and low hydrogen content.",0,,1060.0,8.0,0.015,0.4,,"TM-pipe steels to StE 890 to S890QL1, X120 high-strength fine grain structural steels (low temp) to StE 960 (StE 1100 to 12 mm) to S960QL1 (S1100).  ASTM: up to A 714, A 709, A 515, A 517",,,,,,http://www.ceweld.nl/en/product/sacw-890
592,21.0,A 5.23: F9P2-ECB3-B3,,,"Construction of containers, Boiler and machinery parts, Steam boilers and turbines, 2,25Cr1Mo steels, pipelines. Suitable for one- of multi layer welding.",,,0.09,SAW Arc Submerged,,2.3,,,,,675.0,1.0,,0,SR/AN,,,180.0,24598: S T CrMo2 FB,,1.1,1.1,,SACW CrMo-2,,,,,,,0.015,Absolutely crack resistant weld metal conditioned by the higbasic slag in combination with very low hydrogen content. Suitable for heat treatment. Step cooling is possible. High reserve of toughness and crack resistance.,0,,690.0,540.0,0.015,0.3,,"Boiler steels 10CrMo9-10, 10CrSiMoV7, 12CrMo9-10, A 387, CrMo2
 ",,,,,,http://www.ceweld.nl/en/product/sacw-crmo-2
593,,A 5.13: E FeMnCr,,,"Building up worn out parts that suffer from wear combined with high impact, buffer layers ec.",,,0.5,SAW Arc Submerged,,15.0,,8555: MF 7–250–KNP,,66.2,0.0,,500.0,1,AW,,,235.0,14700: E Fe9 ,,16.0,0.5,,SACW MnCr,,,1.2,,,,,Austenitic deposit with strain hardening properties and no limmits in the number of layers. The deposit is non magnetic and can not be flame cut. Extreme resistance to heavy impact loads.Th weld deposit offers fair corrosion resistance and has strain hardening properties. This alloy should be aplied at highest impact and pressure loads applications. Best to be used with welding flux FL 915,24,150.0,,,,0.4,,"Rebuilding rails, crossings, crushing hammers, dredger teeth, rollers, blast furnace, mantles, hardfacing manganese hard stee, buffer layersl etc..",,0.2,,,,http://www.ceweld.nl/en/product/sacw-mncr
594,18.0,A 5.9: (EC2553),,,"Welding forget or cast Super Duplex stainless steels for service in the as welded condition. For use where a high strength and good corrosion resistance is important in oil and gas production and processing system: pumps, valves, piping systems, risers etc.. SACW Super Duplex can also be used as an alternative for root welds to standard duplex to offer improved pitting resistance. ",,,0.02,SAW Arc Submerged,,25.5,1.6,,,,0.0,,,0,AW,47.0,,,12073: S 25 9 3 Cu NL,,0.7,3.8,0.25,SACW Super Duplex,,,8.9,,,,0.015,"Higher productivity, higher deposition rates and improved wetting properties compared to solid wires with excellent X ray soundness. Improved hot cracking resistance and mechanical properties. To be used with welding flux FL 8111 or FL 838",24,150.0,620.0,550.0,0.01,0.6,,"Welding wrought, forged or cast super duplex stainless steels for service in the as-welded Condition. Heterogeneous welding between super duplex stainless steels and dissimilar welds between other stainless and mild or low alloyed steels. Examples: UNS S32550 :UR 52 N, Ferralium 255, UNS S32520 :UR 52 N+, UNS S32750 :SAF 2507, UR 47 N+, UNS S32760 :ZERON 100, UNS 32760, UR 76 N, SM22Cr, SAF 2507, ASTM S32760 (ZERON 100), S32550 and S31260., It can also be used for welding duplex type 2205, 1.4460, 1.4462,1.4463,1.4515, 1.4517, 1.4507 URANUS 52N, SAF 25.07, GX 3 CrNiMoCuN 26-6-3, (1.4515), GX 3 CrNiMoCuN 26-6-3-3, (1.4517), 25% Cr Super Duplex steels SAF 25/07, S32750 1.4410 - 25Cr-7Ni-4Mo-0.28N SAF2507, NAS74N, S32760 1.4501 - 25Cr-7Ni-3.8Mo-0.7Cu-0.7W-0.25N, S32506 - SUS329J4L 25Cr-7Ni-3Mo-0.15N-0.2W NAS64 1.4507, S31803, S32205,",,,,,,http://www.ceweld.nl/en/product/sacw-super-duplex
595,29.0,A 5.9: ~ER 309 LMo,,,"Joining heat resistant CrNi-steels of the same kind and also joining dissimilar alloys such as steel to stainless steel. Cladding on low alloyed steels in case a 18/8/2 CrNiMo layer is required in the first layer. 
",,,0.015,ESAW Electroslag,,22.0,,,1.4459,,0.0,,,0,AW,60.0,,,,,1.8,2.9,,SAS 309 LMo,,,14.0,,,,,,24,150.0,650.0,465.0,,0.3,,"Strip cladding on low alloyed steels in case a 18/8/2 CrNiMo (AISI 316) layer is required in the first layer. W.Nr: 1.4401, 1.4404, 1.4406, 1.4410, 1.4437, 1.4571, 1.4580",,,,,,http://www.ceweld.nl/en/product/sas-309-lmo
596,,,,,"Rebuilding wornout parts such as screws, chrusher hammers, drive tumblers, chrusher rolls, dredging parts etc...",,,0.33,ESAW Electroslag,,7.0,,,,,0.0,,55.0,4,AW,,,,,,2.8,1.7,,SAS 550-VW,,,0.25,,,,,The weld deposit offers excellent wear resistance against shocks and abrasion as well. Already the first layer gives excellent results even on mild steel due to the low dilution of the electro slag process. Due to the low dilution with the base metal a hardness exceeding 50 HRc can be achieved already in the first layer. Multiple layers can be applied to obtain full hardness at the final layer.,24,150.0,,,,,,"52-58 HRc electro slag and / or submerged arc strip for hardfacing against schock and wear, Rebuilding wornout parts such as screws, chrusher hammers, drive tumblers, chrusher rolls, dredging parts etc..
For ESW welding FL 830 ESHC should be used as welding flux to obtain the results mentioned in this datasheet.",,0.25,1.8,,,http://www.ceweld.nl/en/product/sas-550-vw
597,24.0,A 5.18: ER 70S-6,,,"Shipbuilding, pipe, bridges, repair, construction, car-plate welding etc...",,,0.08,GMAW-GTAW Solid wires,,,,8559: SG2,1.5125,,0.0,,,0,,150.0,90.0,,14341-A: G 42 3 M G3Si1,,1.45,,,SDA 2 (ITW WELDING GMBH),,,,,,,0.025,Extreme easy to weld with excellent welding properties. High world wide excepted quality with controlled cast and helix for semi and or semi–automatic applications. Weldable with Co2 and Mix gas. ,1,,540.0,430.0,0.025,0.85,," 


Base metal
DIN
EN
ASTM


ShipbuildingUn alloyed steelBoiler steels--Pipe steels-Fine grain steels-API steels
A, B, D, AH 32 till EH 36St 33, St 37-2, St 52-3HI, HII, 17Mn4, 19Mn5--St 35.8, St 45.8StE 210.7TM - StE 380.7TMStE 255 till StE 380-X42
~~~~~~~~~~~P235GH, P265GH,P295GH--P235T1/T2 - P355NL210 - L380S255 - S380-X42
A 131 / A 106A 515 / A 715A 283 / A 285A 414 / A 662A 372 / A 369A 210 / A 516A 255 / A 333A 350 / A 612--


 ",,,,,,http://www.ceweld.nl/en/product/sda-2-itw-welding-gmbh
598,22.0,A.5.18: ER 70 S-6,,,"Shipbuilding, piping, root welding, bridges, repair, construction, offshore, car-plate welding etc...
Suitable for unalloyed and fine grain steels up to 460N/mm2 Yield strength.",,,0.08,GMAW-GTAW Solid wires,,,,8559: SG3,1.5130000000000001,,0.0,,,0,SR,70.0,55.0,,14341-A: G 46 4 M G4Si1,,1.75,,,SDA 3 (ITW WELDING GMBH),,,,,,,0.025,Extreme easy to weld with excellent welding properties and increased yield strenght. High world wide excepted quality with controlled cast and helix for semi and or semi–automatic applications. Weldable with Co2 and Mix gas.,0,,605.0,460.0,0.025,0.9,,"

MaterialsshipbuildingUnalloyed steelsboiler steelspipe steels-Fine grain steelsAPI-standard
DINA, B, D, E, AH 32 - EH 36St 33, St 37-2 - St 52-3H I, H III, 17Mn4, 19Mn5St 35.8, St 45.8StE 210.7 TM, StE 445.7 TMStE 255 to StE 460X 42, X60, X65

ENsameS185 - S355P235GH, P355GHP235T1/T2, P460NL2L210 - L445MBS235 - S460QL1X 42, X60, X65


ASTMTypicalA 258 / A 516A 662 / A 387A 738 / A 612A 299--



 ",,,,,,http://www.ceweld.nl/en/product/sda-3-itw-welding-gmbh
599,20.0,A 5.17: ~EH 12K ,,,"Pipe work; pressure vessels; bridge; apparatus, and steam turbine construction.
Suitable for unalloyed and fine grain steels up to 460N/mm2 Yield strength.",,,0.1,SAW Arc Submerged,,,,,1.0496,,610.0,1.0,,0,AW/PWHT,,100.0,80.0,14171-A: S3Si,,1.55,,,SDA D3,,,,,,,0.025,,0,,570.0,460.0,0.025,0.3,,"X42, X 60, X65, X70, S355, S420, S460",,,,,,http://www.ceweld.nl/en/product/sda-d3
600,26.0,A.5.28: ER 80 S-G,,,"Weather resistant steels, art constructions, bridges, ovens, deco parts etc.",,,0.09,GMAW-GTAW Solid wires,,,0.45,8575: SG NiCu,,,0.0,,,0,,90.0,,,14341-A: G 42 2 M/C GO,,1.4,,,SG Corten,,,0.85,,,,,"Extreme easy to weld with excellent welding properties. High world wide excepted quality with controlled cast and helix for semi and or semi–automatic applications. Weldable with Co2 and Mix gas. Due to the addition of 0,5% copper this alloy offers excelent weather resistant properties. ",0,,570.0,450.0,,0.85,,"S235J2G3 Cu, S355J2G3 Cu, S235JRW, S355JRW, S235J2W, S355J2W, CORTEN, PATINAX 37, ALCODUR 50, KORALPIN 52, 1.8962, 1.8963",,,,,,http://www.ceweld.nl/en/product/sg-corten
