,As,C,Charpy,Cr,Cu,Diffusible Hydrogen,Elongation,Lateral,Mn,Mn + Ni + Cr + Mo + V,Mo,N,Nb,Ni,Ni+Mn,P,P S,S,S Ni,SN,Si,Si P,Sn,Tensile,V,Yield,aws,conformances,ind,key features,requirements,typic_results,typical applications,category,name,url
796,,,56.0,,,,29.0,,,,,,,,,,,,,,,,,557.5,,460.0, E6010,,1254,,Requirements - AWS E6010,Typical Results(3) - As-Welded,,submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Jetweld-JetweldLH-70(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Jetweld-JetweldLH-70(LincolnElectric)
797,,0.085,27.0,1.25,,4.0,22.0,,0.9,,0.525,,,,,0.03,,0.03,,,0.8,,,490.0,,415.0, E7010-P1,"diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can
s-e8018-b2-h4r-•-low-alloy,-low-hydrogen",1256,"typical-applications
(cid:23)(cid:3)power-generation-(cid:23)(cid:3)pressure-vessels
(cid:23)(cid:3)petrochemical-(cid:23)(cid:3)process-piping",Requirements - AWS E7010-P1,Typical Results(3) - As-Welded,"conformances
aws-a5.5/a5.5m:-2006-e8018-b2-h4r
asme-sfa-a5.5:-e8018-b2-h4r
cwb/csa-w48-06:-e5518-b2
welding-positions
all,-except-vertical-down",,,
798,,0.095,70.5,1.175,,3.0,26.0,,0.725,,0.5,,,,,,,,,,0.45,,,580.0,,485.0, E7010-P1,"diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can
s-e8018-b2-h4r-•-low-alloy,-low-hydrogen",1257,"typical-applications
(cid:23)(cid:3)power-generation-(cid:23)(cid:3)pressure-vessels
(cid:23)(cid:3)petrochemical-(cid:23)(cid:3)process-piping",Requirements - AWS E7010-P1,Typical Results(3) - As-Welded,"conformances
aws-a5.5/a5.5m:-2006-e8018-b2-h4r
asme-sfa-a5.5:-e8018-b2-h4r
cwb/csa-w48-06:-e5518-b2
welding-positions
all,-except-vertical-down",submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Jet-LH-Jet-LH78MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Jet-LH-Jet-LH78MR(LincolnElectric)
799,,0.12,27.0,,,,19.0,,1.25,,,,,,,,,2.375,,,0.8,,,550.0,,460.0, E8010-P1,"typical-applications
•-low-temperature-applications
•-refrigerated-ammonia-tanks
•-liquefied-gas-storage,-piping-and-transportation
•-weathering-steels
•-applications-requiring-stress-relieved-conditions",1259,"•-designed-to-produce-a-nol-2.25%-nickel-deposit
•-premium-arc-performance
•-square-coating-burn-off
•-easy-strike,-re-strike-and-slag-removal
welding-positions
all,-except-vertical-down",Requirements - AWS E8010-P1,Typical Results(3) - As-Welded,"conformances
aws-a5.5/a5.5m:-e8018-c1-h4r
asme-sfa-a5.5:-e8018-c1-h4r
cwb/csa-w48-06:-e5518-c1",,,
800,,0.07,99.0,,,,25.5,,1.07,,,,,,,,,,,,0.35000000000000003,,,615.0,,510.0, E8010-P1,"typical-applications
•-low-temperature-applications
•-refrigerated-ammonia-tanks
•-liquefied-gas-storage,-piping-and-transportation
•-weathering-steels
•-applications-requiring-stress-relieved-conditions",1260,"•-designed-to-produce-a-nol-2.25%-nickel-deposit
•-premium-arc-performance
•-square-coating-burn-off
•-easy-strike,-re-strike-and-slag-removal
welding-positions
all,-except-vertical-down",Requirements - AWS E8010-P1,Typical Results(3) - As-Welded,"conformances
aws-a5.5/a5.5m:-e8018-c1-h4r
asme-sfa-a5.5:-e8018-c1-h4r
cwb/csa-w48-06:-e5518-c1",submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Lincoln-Lincoln7018AC(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Lincoln-Lincoln7018AC(LincolnElectric)
801,,0.1,27.0,0.15,,4.0,22.0,,0.925,,0.35000000000000003,,,1.6,,,0.03,,,,0.8,,,490.0,,400.0,"
 E7018-1 H4R","aws-a5.5/a5.5m:-2006-e9018m-h4r
asme-sfa-a5.5:-e9018m-h4r
abs:-e9018m-h4r
cwb/csa-w48-06:-e6218-m-h4r-(9018m-h4r)",123,"(cid:23)(cid:3)designed-to-produce-weld-deposits-with-
620-mpa-(90-ksi)-tensile-strength-
(cid:23)(cid:3)premium-arc-performance-
(cid:23)(cid:3)square-coating-burn-off-
(cid:23)(cid:3)easy-strike-and-re-strike-
(cid:23)(cid:3)effortless-slag-removal
welding-positions
all,-except-vertical-down
h4r","Requirements
AWS E7018-1 H4R","Typical Results(3)
As-Welded","(cid:23)(cid:3)high-strength-steel,-such-as-hy-80,-hy-90-and-astm-
a514
(cid:23)(cid:3)cross-country-pipe-repair
(cid:23)(cid:3)dc-welding",hardfacing,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet5(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet5(LincolnElectric)
802,,0.12,27.0,0.15,,4.0,19.0,,0.8250000000000001,,0.35000000000000003,,,0.9500000000000001,,0.03,,0.03,,,0.8,,,550.0,0.05,460.0,"
 E8010‐P1","diameters-/-packaging
diameter-length-10-lb-(4.5-kg)-easy-op
in-(mm)-in-(mm)-30-lb-(13.6-kg)-master
s-e8018-c3-h4r-•-low-alloy,-low-hydrogen",1262,"typical-applications
(cid:23)(cid:3)shipbuilding-(cid:23)(cid:3)weathering-steels
(cid:23)(cid:3)piping-and-gas-(cid:23)(cid:3)cross-country-
storage-tanks-pipe-repair","Requirements
AWS E8010‐P1","Typical Results(3)
As-Welded","conformances
aws-a5.5/a5.5m:-2006-e8018-c3-h4r
asme-sfa-a5.5:-e8018-c3-h4r
abs:-e8018-c3-h4r
cwb/csa-w48-06:-e5518-c3
en-iso-2560-b:-e5518-n2-a-u-h5",,,
803,,0.055,99.0,0.05,,1.5,25.5,,0.8250000000000001,,0.17,,,0.9500000000000001,,,,,,,0.34500000000000003,,,560.0,,510.0,"
 E8010‐P1","diameters-/-packaging
diameter-length-10-lb-(4.5-kg)-easy-op
in-(mm)-in-(mm)-30-lb-(13.6-kg)-master
s-e8018-c3-h4r-•-low-alloy,-low-hydrogen",1263,"typical-applications
(cid:23)(cid:3)shipbuilding-(cid:23)(cid:3)weathering-steels
(cid:23)(cid:3)piping-and-gas-(cid:23)(cid:3)cross-country-
storage-tanks-pipe-repair","Requirements
AWS E8010‐P1","Typical Results(3)
As-Welded","conformances
aws-a5.5/a5.5m:-2006-e8018-c3-h4r
asme-sfa-a5.5:-e8018-c3-h4r
abs:-e8018-c3-h4r
cwb/csa-w48-06:-e5518-c3
en-iso-2560-b:-e5518-n2-a-u-h5",submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Millennium-MillenniumArc7018-1(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Millennium-MillenniumArc7018-1(LincolnElectric)
804,,0.055,,,,,19.0,,1.3,,,,,,,0.015,,0.01,,,0.47500000000000003,,,550.0,,460.0, E8018-G H4,"aws-a5.1/a5.1m:-e7018-h8
asme-sfa-a5.1:-e7018-h8
cwb/csa-w48-06:-e4918-h8
welding-positions
all,-except-vertical-down",1266,"•-ac-polarity-welding
•-low-open-circuit-voltage-operation
•-mal-spatter
•-capable-of-cold-re-strikes",Requirements - AWS E8018-G H4,Typical Results(3) - As-Welded,"•-general-fabrication
•-tack-and-skip-welds
•-thin-sections",submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur10018-D2MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur10018-D2MR(LincolnElectric)
805,,,131.5,,,,28.0,,,,,,,,,,,,,,,,,665.0,,585.0, E8018-G H4,,1267,,Requirements - AWS E8018-G H4,Typical Results(3) - As-Welded,,submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur10018-D2MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur10018-D2MR(LincolnElectric)
806,,0.075,,2.335,,3.0,15.0,,0.72,,1.08,,,,,,,,,,0.44,,,690.0,,600.0, E10018-G H4R,"diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can
s-e9018-b3-h4r-•-low-alloy,-low-hydrogen",1269,"typical-applications
(cid:23)(cid:3)2.25%-chromium,-(cid:23)(cid:3)petrochemical
1%-molybdenum-steels
(cid:23)(cid:3)pressure-vessels
(cid:23)(cid:3)power-generation
(cid:23)(cid:3)process-piping",Requirements - AWS E10018-G H4R,Typical Results(3)  - As-Welded,"conformances
aws-a5.5/a5.5m:-2006-e9018-b3-h4r
asme-sfa-a5.5:-e9018-b3-h4r
cwb/csa-w48-06:-e6218-b3
welding-positions
all,-except-vertical-down",submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur11018MMR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur11018MMR(LincolnElectric)
807,,,110.0,,,,23.0,,,,,,,,,,,,,,,,,782.5,,700.0, E10018-G H4R,,1270,,Requirements - AWS E10018-G H4R,Typical Results(3)  - As-Welded,,submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur11018MMR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur11018MMR(LincolnElectric)
808,,0.1,27.0,0.15,,4.0,19.0,,0.925,,0.35000000000000003,,,1.6,,,0.03,,,,0.8,,,550.0,,460.0," E8045-P2 H4R
PIPELINER LH-D80","aws-a5.5/a5.5m:-2006-e9018m-h4r
asme-sfa-a5.5:-e9018m-h4r
abs:-e9018m-h4r
cwb/csa-w48-06:-e6218-m-h4r-(9018m-h4r)",1272,"(cid:23)(cid:3)designed-to-produce-weld-deposits-with-
620-mpa-(90-ksi)-tensile-strength-
(cid:23)(cid:3)premium-arc-performance-
(cid:23)(cid:3)square-coating-burn-off-
(cid:23)(cid:3)easy-strike-and-re-strike-
(cid:23)(cid:3)effortless-slag-removal
welding-positions
all,-except-vertical-down
h4r","Requirements - AWS E8045-P2 H4R
PIPELINER LH-D80","Typical Results(3) - As-Welded
Requirements - AWS E9045-P2 H4R","(cid:23)(cid:3)high-strength-steel,-such-as-hy-80,-hy-90-and-astm-
a514
(cid:23)(cid:3)cross-country-pipe-repair
(cid:23)(cid:3)dc-welding",submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-A1MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-A1MR(LincolnElectric)
809,,0.055,100.0,0.085,,2.0,28.5,,1.0,,0.30000000000000004,,,1.65,,,0.0133333333,,,,0.4,,,585.0,,500.0," E8045-P2 H4R
PIPELINER LH-D80","aws-a5.5/a5.5m:-2006-e9018m-h4r
asme-sfa-a5.5:-e9018m-h4r
abs:-e9018m-h4r
cwb/csa-w48-06:-e6218-m-h4r-(9018m-h4r)",1273,"(cid:23)(cid:3)designed-to-produce-weld-deposits-with-
620-mpa-(90-ksi)-tensile-strength-
(cid:23)(cid:3)premium-arc-performance-
(cid:23)(cid:3)square-coating-burn-off-
(cid:23)(cid:3)easy-strike-and-re-strike-
(cid:23)(cid:3)effortless-slag-removal
welding-positions
all,-except-vertical-down
h4r","Requirements - AWS E8045-P2 H4R
PIPELINER LH-D80","Typical Results(3) - As-Welded
Requirements - AWS E9045-P2 H4R","(cid:23)(cid:3)high-strength-steel,-such-as-hy-80,-hy-90-and-astm-
a514
(cid:23)(cid:3)cross-country-pipe-repair
(cid:23)(cid:3)dc-welding",submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-A1MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-A1MR(LincolnElectric)
810,,0.155,27.0,0.025,,,19.0,,0.64,,0.015,,,0.025,,0.011,,,,,0.23500000000000001,,,550.0,,460.0," E8045-P2 H4R
PIPELINER LH-D80","diameters-/-packaging
diameter-length-10-lb-(4.5-kg)-easy-open-ca",1276,"(cid:23)(cid:3)high-operator-appeal-and-control
(cid:23)(cid:3)easy-slag-removal
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online
(cid:23)(cid:3)standard-in-the-pipe-welding-industry","Requirements - AWS E8045-P2 H4R
PIPELINER LH-D80","Typical Results(3) - As-Welded
Requirements - AWS E9045-P2 H4R","(cid:23)(cid:3)cross-country-and-in-plant-pipe-welding
(cid:23)(cid:3)root-pass-on-up-to-x80-grade-pipe
(cid:23)(cid:3)hot,-fill-and-cap-pass-on-up-to-x60-grade-pipe",submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-B2MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-B2MR(LincolnElectric)
811,,,100.0,,,,28.5,,,,,,,,,,,,,,,,,585.0,,500.0," E8045-P2 H4R
PIPELINER LH-D80",,1277,,"Requirements - AWS E8045-P2 H4R
PIPELINER LH-D80","Typical Results(3) - As-Welded
Requirements - AWS E9045-P2 H4R",,,,
812,,,112.5,,,,28.0,,,,,,,,,,,,,,,,,585.0,,485.0,"
 E7018-1 H4R",,124,,"Requirements
AWS E7018-1 H4R","Typical Results(3)
As-Welded",,hardfacing,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet5(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet5(LincolnElectric)
813,,0.145,27.0,0.035,,,19.0,,0.635,,0.125,,,0.74,,0.015,,,,,0.185,,,550.0,,460.0," E8045-P2 H4R
PIPELINER LH-D80",diameters-/-packaging,1279,"typical-applications
(cid:23)(cid:3)root-pass-welding-of-up-to-x80-grade-pipe
(cid:23)(cid:3)hot,-fill-and-cap-pass-of-up-to-x65-grade-pipe
(cid:23)(cid:3)vertical-down-welding","Requirements - AWS E8045-P2 H4R
PIPELINER LH-D80","Typical Results(3) - As-Welded
Requirements - AWS E9045-P2 H4R","conformances
aws-a5.5/a5.5m:-2006-e7010-p1
asme-sfa-a5.5:-e7010-p1
abs:-e7010-p1",submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-C1MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-C1MR(LincolnElectric)
814,,,100.0,,,,28.5,,,,,,,,,,,,,,,,,585.0,,500.0," E8045-P2 H4R
PIPELINER LH-D80",,1280,,"Requirements - AWS E8045-P2 H4R
PIPELINER LH-D80","Typical Results(3) - As-Welded
Requirements - AWS E9045-P2 H4R",,,,
815,,0.145,27.0,0.035,,,22.0,,0.765,,0.17500000000000002,,,0.865,,0.015,,,,,0.17,,,430.0,0.01,330.0, E6011,"typical-applications
(cid:23)(cid:3)root-pass-welding-of-up-to-x80-grade-pipe
(cid:23)(cid:3)hot,-fill-and-cap-pass-of-up-to-x70-grade-pipe",1282,"(cid:23)(cid:3)high-productivity-in-vertical-down-and-
out-of-position-pipe-welding-
(cid:23)(cid:3)deep-penetration-
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online-
(cid:23)(cid:3)clean,-visible-weld-puddle-
(cid:23)(cid:3)superior-puddle-control
welding-positions
all",Requirements - AWS E6011,Typical Results(3) - As-Welded,diameters-/-packaging,submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-C3MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-C3MR(LincolnElectric)
816,,,53.5,,,,27.0,,,,,,,,,,,,,,,,,580.0,,475.0, E6011,,1283,,Requirements - AWS E6011,Typical Results(3) - As-Welded,,,,
817,,,27.0,,,,22.0,,,,,,,,,,,,,,,,,430.0,,330.0, E6010,,1286,,Requirements - AWS E6010,Typical Results(3) - As-Welded,,,,
818,,,54.5,,,,28.0,,,,,,,,,,,,,,,,,542.5,,447.5, E6010,,1287,,Requirements - AWS E6010,Typical Results(3) - As-Welded,,submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018MMR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018MMR(LincolnElectric)
819,,0.06,27.0,,,,22.0,,1.35,,,,,,,0.0125,,0.008,,,0.53,,,430.0,,330.0, E6010,"typical-applications
•-root-pass-welding-of-up-to-x100-grade-pipe
welding-positions
all",1289,"•-hot,-fill-and-cap-pass-welding-up-to-x60
•-low-hydrogen,-vertical-up-capability-on-x60-grade-pipe-
•-q2-lot®-certificates-showing-actual-deposit-chemistry-
and-mechanical-properties-available-online
•-dc-(dcen)-is-the-recommended-polarity-for-root-pass-
welding-on-pipe",Requirements - AWS E6010,Typical Results(3) - As-Welded,"conformances
aws-a5.1:-e7016-1-h4
asme-sfa-a5.1:-e7016-1-h4",,,
820,,,72.0,,,,25.5,,,,,,,,,,,,,,,,,555.0,,457.5, E6010,,1290,,Requirements - AWS E6010,Typical Results(3) - As-Welded,,submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner6PPlus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner6PPlus(LincolnElectric)
821,,,,,,,17.0,,,,,,,,,,,,,,,,,430.0,,330.0, E6013,,1293,,Requirements - AWS E6013,Typical Results(3) - As-Welded,,submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner7PPlus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner7PPlus(LincolnElectric)
822,,,56.5,0.30000000000000004,0.2,4.0,23.0,,1.0,,0.2,,,,,0.03,,,0.265,,0.8,,,487.5,0.1,420.0, E6013,"diameters-/-packaging
diameter-length
mm-(in)-in-(mm)
018-g-h4r-•-low-alloy,-low-hydrogen,-pipe",1294,"typical-applications
(cid:23)(cid:3)fill-and-cap-pass-welding-of-up-to-x80-grade-pipe",Requirements - AWS E6013,Typical Results(3) - As-Welded,"conformances
aws-a5.5/a5.5m:-2006-e10018-g-h4r
asme-sfa-a5.5:-e10018-g-h4r
welding-positions
all,-except-vertical-down",submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner7PPlus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner7PPlus(LincolnElectric)
823,,0.2,,0.30000000000000004,,,17.0,,1.2,,,,,0.2,,,,,,,1.0,,,620.0,,530.0, E9018-B3 H4R,"aws-a5.1/a5.1m:-e6013
asme-sfa-a5.1:-e6013
abs:-e6013
lloyd’s-register:-3m
dnv-grade:-1
gl:-1
bv-grade:-1
cwb/csa-w48-06:-e4313
en-iso-2560-b:-e4313-a
welding-positions
all",126,"•-operable-with-low-amperages-on-sheet-metal
•-excellent-bead-appearance
•-slag-control-accommodates-vertical-down-welding",Requirements - AWS E9018-B3 H4R,"Typical Results(3)  - As-Welded
 Stress-Relieved 1 hr @ 690°C (1275°F)","•-sheet-metal
•-irregular-short-welds-that-change-positions
•-maintenance-or-repair-welding
•-for-use-with-small-ac-welders-with-low-ocv",hardfacing,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet9(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Chromet-Chromet9(LincolnElectric)
824,,,,,,,17.0,,,,,,,,,,,,,,,,,490.0,,400.0, E7014,,1296,,Requirements - AWS E7014,Typical Results(3) - As-Welded,,submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner8PPlus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner8PPlus(LincolnElectric)
825,,0.12,74.0,0.2,,,26.0,,1.3,,0.5,,,1.0,,0.03,,,,,0.8,,,537.5,0.05,455.0, E7014,nan,1297,"hydrogen-vertical-down-smaw-electr
cross-country-pipe-welding-electrodes-des
repeatable-mechanical-properties-with-low
performance-perfected
welders-prefer-pipeliner-lh-d
•-easy-to-use-with-controllable-slag
•-easy-transition-for-welders-experienced-
with-cellulosic-electrodes
•-touch-start-tapered-tip-elites-
starting-porosity-and-arc-strikes-on-pipe-
rode-designed-for-welding-high-strength-pipe
signed-for-vertical-down-progression-producing-
west-diffusible-hydrogen-levels.
50
pipeliner-lh-d-has-
n-30%-less-breakage-
e
k
o-when-compared-to-
r
b-böhler-fox-bvd
s-25
e
d
og
rn
electtesti
f-r-
oe
-t",Requirements - AWS E7014,Typical Results(3) - As-Welded,nan,submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner8PPlus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner8PPlus(LincolnElectric)
826,,,,,,,19.0,,,,,,,,,,,,,,,,,550.0,,460.0, E8010-G,,1299,,Requirements - AWS E8010-G,Typical Results(3) - As-Welded,,submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-PipelinerArc80(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-PipelinerArc80(LincolnElectric)
827,,0.15,59.0,0.30000000000000004,,,25.0,,1.6,,0.08,,,,,0.035,,0.035,,,0.75,,,637.5,1.75,540.0, E8010-G,"aws-a5.1:-e7018-1-h4r
asme-sfa-a5.1:-e7018-1-h4r
cwb/csa-w48-06:-e4918-1-h4",1300,"•-50%-less-moisture-pick-vs.-competition
•-clear-weld-puddle-without-slag-interference
•-flat-bead-profile
•-no-intentional-addition-of-zinc-for-moisture-
resistance
welding-positions
all,-except-vertical-down",Requirements - AWS E8010-G,Typical Results(3) - As-Welded,"diameters-/-packaging
1-lb-(0.5-kg)",submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-PipelinerArc80(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-PipelinerArc80(LincolnElectric)
828,,,27.0,,,,16.0,,,,,,,,,,,,,,,,,690.0,,600.0, E10018-D2 H4R,,1302,,Requirements - AWS E10018-D2 H4R,"Typical Results(3) - Stress-Relieved
  1 hr @ 620°C (1150°F)",,submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner16P(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner16P(LincolnElectric)
829,,,62.5,,,,23.5,,,,,,,,,,,,,,,,,752.5,,682.5, E10018-D2 H4R,,1303,,Requirements - AWS E10018-D2 H4R,"Typical Results(3) - Stress-Relieved
  1 hr @ 620°C (1150°F)",,submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner16P(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner16P(LincolnElectric)
830,,0.05,,0.05,,,22.0,,1.175,,0.02,,,0.04,,0.01,,,,,0.425,,,490.0,0.01,390.0, E7010-A1,nan,1305,"hydrogen-vertical-down-smaw-electr
cross-country-pipe-welding-electrodes-des
repeatable-mechanical-properties-with-low
performance-perfected
welders-prefer-pipeliner-lh-d
•-easy-to-use-with-controllable-slag
•-easy-transition-for-welders-experienced-
with-cellulosic-electrodes
•-touch-start-tapered-tip-elites-
starting-porosity-and-arc-strikes-on-pipe-
rode-designed-for-welding-high-strength-pipe
signed-for-vertical-down-progression-producing-
west-diffusible-hydrogen-levels.
50
pipeliner-lh-d-has-
n-30%-less-breakage-
e
k
o-when-compared-to-
r
b-böhler-fox-bvd
s-25
e
d
og
rn
electtesti
f-r-
oe
-t",Requirements - AWS E7010-A1,Typical Results(3)  - As-Welded,nan,submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner18P(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner18P(LincolnElectric)
831,,,39.0,,,,27.5,,,,,,,,,,,,,,,,,560.0,,475.0, E7010-A1,,1306,,Requirements - AWS E7010-A1,Typical Results(3)  - As-Welded,,submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner18P(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner18P(LincolnElectric)
832,,0.05,,0.05,,,17.0,,1.175,,0.02,,,0.04,,0.01,,,,,0.425,,,620.0,0.01,530.0, E9010-G,nan,1308,"hydrogen-vertical-down-smaw-electr
cross-country-pipe-welding-electrodes-des
repeatable-mechanical-properties-with-low
performance-perfected
welders-prefer-pipeliner-lh-d
•-easy-to-use-with-controllable-slag
•-easy-transition-for-welders-experienced-
with-cellulosic-electrodes
•-touch-start-tapered-tip-elites-
starting-porosity-and-arc-strikes-on-pipe-
rode-designed-for-welding-high-strength-pipe
signed-for-vertical-down-progression-producing-
west-diffusible-hydrogen-levels.
50
pipeliner-lh-d-has-
n-30%-less-breakage-
e
k
o-when-compared-to-
r
b-böhler-fox-bvd
s-25
e
d
og
rn
electtesti
f-r-
oe
-t",Requirements - AWS E9010-G,Typical Results(3) - As-Welded,nan,submerged-arc,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner19P(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner19P(LincolnElectric)
