,Item Brand,Item Name,Item Type,Special Category,"C(Min,Max)%",CVN Impact,CVN Temp C,"Cr(Min,Max)%",Elong %,Fillet Weld Test,Hydrogen Ml/100gm,"Mn(Min,Max)%",Mn+Cr+Ni+Mo+V,"Mo(Min,Max)%",Moisture,"Ni(Min,Max)%","P (Min,Max)%",Radiography,"S (Min,Max)%","Si (Min,Max)%",Test Condition1,Test Condition2 - EN,"UTS(Kg/mm2)(Min,Max%","V(Min ,Max%)",YS(Kgf/mm2),"Cb(Min,Max)%","Cu(Min, Max)",Test Cond as Per,CVN Impact - EN,CVN Temp C - EN,Special Prop.,"Fe(Min,Max)%","Nb(Min,Max)",Ti (Min Max%),UTS,CVN Avg.,"Al(Min, Max)%",PWHT,"Zr (Min, Max%)","N (Min,Max)%","Cb (Min,Max%)`",FG Batch,"Co(Min,Max)%","Nickel(Min,Max%)",Other Elements Total,"W(Min, Max) %",Physical Appearance,Elong % I,"Nb(Min,Max)%","PB(Min, Max)%",Hardness,Special Prop 1,Special Prop 2,Special Prop 3,W,Hardness ParmeterI,Special Prop 4,Special Prop 6,Special Prop 7,Special Prop 5,Special Prop 8,"Boron (Min,Max%)","NB+TA(Min,Max%)",Sn,Hardness Parmeter,BaCo3,"UTS(MPa)(Min,Max%)",YS MPa,Elong % - EN,PWHT - EN,"UTS(Kg/mm2)(Min,Max%-EN",YS(Kgf/mm2)-EN,"APP.DENSITY(MIN,MAX)",Cobalt,Flow Rate (Hall),Mesh Size(BS),As,Sb,Bend Test,"IR (Min,Max)%","Lead (Min,Max)",Ferrite (Fn),"TI(Min,Max%)"
1168,    Ultratherme-H,ULTRATHERME-H 3.15 X 350 (2.5KG),U1 and U3 - Electrodes - MS Common,  SPECIAL OTHERS,"        0.000,        0.100",,-50,"        0.000,        0.400","       15.000,        0.000", Satisfactory,,"        0.800,        1.400",,"        0.250,        0.450",,"        1.250,        2.500","        0.000,        0.030",   Satisfactory,"        0.000,        0.030","        0.000,        0.600",,,"      760.000,        0.000",,"      670.000,        0.000",,,AWS/SFA - 5.5 : E -10016  G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,    Ultratherme-H,ULTRATHERME-H 4.00 X 350 (2.5KG),U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.100",,-50,"        0.000,        0.400","       15.000,        0.000", Satisfactory,,"        0.800,        1.400",,"        0.250,        0.450",,"        1.250,        2.500","        0.000,        0.030",   Satisfactory,"        0.000,        0.030","        0.000,        0.600",,,"      760.000,        0.000",,"      670.000,        0.000",,,AWS/SFA - 5.5 : E -10016  G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,    Ultratherme-H,ULTRATHERME-H 5.00 X 350 (2.5KG),U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.100",,-50,"        0.000,        0.400","       15.000,        0.000", Satisfactory,,"        0.800,        1.400",,"        0.250,        0.450",,"        1.250,        2.500","        0.000,        0.030",   Satisfactory,"        0.000,        0.030","        0.000,        0.600",,,"      760.000,        0.000",,"      670.000,        0.000",,,AWS/SFA - 5.5 : E -10016  G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,    ULTRATHERME-H4R,ULTRATHERME-H4R 3.15 X 450 (2KG),U1 and U3 - Electrodes - MS Common,  SPECIAL OTHERS,"        0.000,        0.100",         27 Joule (Min),-50,"        0.000,        0.400","       20.000,        0.000",Satisfactory,3.0,"        1.30,        1.80",,"        0.250,        0.500","        0.000,        0.150","        1.250,        2.500","        0.000,        0.030",   Satisfactory,"        0.000,        0.030","        0.000,        0.600",,,"      760.000,        0.000","        0.000,        0.050","      680.000,      760.000",,,AWS/SFA-5.5 : E 11018 GH4R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,    ULTRATHERME-H4R,ULTRATHERME-H4R 4.00 X 450 (2KG),U1 and U3 - Electrodes - MS Common,  SPECIAL OTHERS,"        0.000,        0.100",         27 Joule (Min),-50,"        0.000,        0.400","       20.000,        0.000",Satisfactory,3.0,"        1.30,        1.80",,"        0.250,        0.500","        0.000,        0.150","        1.250,        2.500","        0.000,        0.030",   Satisfactory,"        0.000,        0.030","        0.000,        0.600",,,"      760.000,        0.000","        0.000,        0.050","      680.000,      760.000",,,AWS/SFA-5.5 : E 11018 -GH4R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,    Ultratherme-M,ULTRATHERME-M 3.15 X 450,U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.100",27 Joules,-50,"        0.000,        0.400","       20.000,        0.000",  Satisfactory,,"        1.30,        1.80",,"        0.250,        0.500",,"        1.250,        2.500","        0.000,        0.030", Satisfactory,"        0.000,        0.030","        0.000,        0.600",,,"      760.000,        0.000","        0.000,        0.050","      680.000,      760.000",,,AWS/SFA - 5.5 : E -11018  M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,    Ultratherme-M,ULTRATHERME-M 4.00 X 450,U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.100",27 Joules,-50,"        0.000,        0.400","       20.000,        0.000",  Satisfactory,,"        1.30,        1.80",,"        0.250,        0.500",,"        1.250,        2.500","        0.000,        0.030", Satisfactory,"        0.000,        0.030","        0.000,        0.600",,,"      760.000,        0.000","        0.000,        0.050","      680.000,      760.000",,,AWS/SFA - 5.5 : E -11018  M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,    Ultratherme-M,ULTRATHERME-M 5.00 X 450,U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.100",27 Joules,-50,"        0.000,        0.400","       20.000,        0.000",  Satisfactory,,"        1.30,        1.80",,"        0.250,        0.500",,"        1.250,        2.500","        0.000,        0.030", Satisfactory,"        0.000,        0.030","        0.000,        0.600",,,"      760.000,        0.000","        0.000,        0.050","      680.000,      760.000",,,AWS/SFA - 5.5 : E -11018  M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,    Unitherme,UNITHERME 4.00 X 450(70),U1 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.200",,,"        0.000,        0.200","       17.000,        0.000",     Satisfactory,,"        0.00,        1.20",,"        0.000,        0.300",,"        0.000,        0.300",,Satisfactory,,"        0.000,        1.000",,,"      430.000,        0.000","        0.000,        0.080","      330.000,        0.000",,,AWS/SFA-5.1 : E 6020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,    Unitherme,UNITHERME 5.00 X 450,U1 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.200",,,"        0.000,        0.200","       17.000,        0.000",     Satisfactory,,"        0.00,        1.20",,"        0.000,        0.300",,"        0.000,        0.300",,Satisfactory,,"        0.000,        1.000",,,"      430.000,        0.000","        0.000,        0.080","      330.000,        0.000",,,AWS/SFA-5.1 : E 6020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,    D & H 1111-CI,D&H 1111-CI 2.50 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        2.000",,,,,,,"        0.00,        2.50",,,,"       45.000,       65.000",,,"        0.000,        0.030","        0.000,        4.000",,,,,,,"        0.000,        2.500",AWS/SFA- 5.15 E Ni Fe CI,,,,,,,,, 0.00          1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,    D & H 1111-CI,D&H 1111-CI 3.15 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        2.000",,,,,,,"        0.00,        2.50",,,,"       45.000,       65.000",,,"        0.000,        0.030","        0.000,        4.000",,,,,,,"        0.000,        2.500",AWS/SFA- 5.15 E Ni Fe CI,,,,,,,,, 0.00          1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,    D & H 1111-CI,D&H 1111-CI 3.20 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        2.000",,,,,,,"        0.00,        2.50",,,,"       45.000,       65.000",,,"        0.000,        0.030","        0.000,        4.000",,,,,,,"        0.000,        2.500",AWS/SFA- 5.15 E Ni Fe CI,,,,,,,,, 0.00          1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,    D & H 1111-CI,D&H 1111-CI 4.00 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        2.000",,,,,,,"        0.00,        2.50",,,,"       45.000,       65.000",,,"        0.000,        0.030","        0.000,        4.000",,,,,,,"        0.000,        2.500",AWS/SFA- 5.15 E Ni Fe CI,,,,,,,,, 0.00          1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,    D & H 1200-T(NS),D&H 1200-T(NS) 2.5 X 300 (2KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.100",,,"       13.000,       17.000","       30.000,        0.000",,,"        1.00,        3.50",,"        0.500,        2.500",,"       62.000,      100.000","        0.000,        0.020",    Satisfactory,"        0.000,        0.015","        0.000,        0.750",,EN ISO 14172 E Ni 6092,"      550.000,        0.000",,"      360.000,        0.000","        0.500,        3.000","        0.000,        0.500", AWS/SFA -5.11: E Ni Cr Fe -2,,,,"        0.000,       12.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1183,    D & H 1200-T(NS),D&H 1200-T(NS) 2.5 X 350(2.5KGS),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.100",,,"       13.000,       17.000","       30.000,        0.000",,,"        1.00,        3.50",,"        0.500,        2.500",,"       62.000,      100.000","        0.000,        0.020",    Satisfactory,"        0.000,        0.015","        0.000,        0.750",,EN ISO 14172 E Ni 6092,"      550.000,        0.000",,"      360.000,        0.000","        0.500,        3.000","        0.000,        0.500", AWS/SFA -5.11: E Ni Cr Fe -2,,,,"        0.000,       12.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1184,    D & H 1200-T(NS),D&H 1200-T(NS) 3.15 X 350(2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.100",,,"       13.000,       17.000","       30.000,        0.000",,,"        1.00,        3.50",,"        0.500,        2.500",,"       62.000,      100.000","        0.000,        0.020",    Satisfactory,"        0.000,        0.015","        0.000,        0.750",,EN ISO 14172 E Ni 6092,"      550.000,        0.000",,"      360.000,        0.000","        0.500,        3.000","        0.000,        0.500", AWS/SFA -5.11: E Ni Cr Fe -2,,,,"        0.000,       12.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1185,    D & H 1200-T(NS),D&H 1200-T(NS) 4.00 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.100",,,"       13.000,       17.000","       30.000,        0.000",,,"        1.00,        3.50",,"        0.500,        2.500",,"       62.000,      100.000","        0.000,        0.020",    Satisfactory,"        0.000,        0.015","        0.000,        0.750",,EN ISO 14172 E Ni 6092,"      550.000,        0.000",,"      360.000,        0.000","        0.500,        3.000","        0.000,        0.500", AWS/SFA -5.11: E Ni Cr Fe -2,,,,"        0.000,       12.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1186,    D & H 1200-T(NS),D&H 1200-T(NS) 5.00 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.100",,,"       13.000,       17.000","       30.000,        0.000",,,"        1.00,        3.50",,"        0.500,        2.500",,"       62.000,      100.000","        0.000,        0.020",    Satisfactory,"        0.000,        0.015","        0.000,        0.750",,EN ISO 14172 E Ni 6092,"      550.000,        0.000",,"      360.000,        0.000","        0.500,        3.000","        0.000,        0.500", AWS/SFA -5.11: E Ni Cr Fe -2,,,,"        0.000,       12.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1187,    D & H 1212-MOD,D&H 1212-MOD 3.15 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.100",,,"       18.000,       22.000","       22.000,        0.000",,,"        2.000,        6.000",,"        0.000,        2.000",,"       63.000,      100.000","        0.000,        0.030",Satisfactory,"        0.000,        0.015","        0.000,        0.800",,,"      600.000,        0.000",,,"        1.500,        3.000","        0.000,        0.500",AWS/SFA-5.11:ENiCrFe-3(Appr.),,,,"        0.000,        4.000",,"        0.000,        0.500",,,,,,,,,"        0.000,        0.030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1188,    D & H 1212-MOD,D&H 1212-MOD 4.00 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.100",,,"       18.000,       22.000","       22.000,        0.000",,,"        2.000,        6.000",,"        0.000,        2.000",,"       63.000,      100.000","        0.000,        0.030",Satisfactory,"        0.000,        0.015","        0.000,        0.800",,,"      600.000,        0.000",,,"        1.500,        3.000","        0.000,        0.500",AWS/SFA-5.11:ENiCrFe-3(Appr.),,,,"        0.000,        4.000",,"        0.000,        0.500",,,,,,,,,"        0.000,        0.030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1189,    D & H 1212-NS,D&H 1212-NS 2.50 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.100",,,"       13.000,       17.000","       30.000,        0.000",,,"        5.00,        9.50",,,,"       60.000,      100.000","        0.000,        0.020",Satisfactory,"        0.000,        0.015","        0.000,        1.000",,EN ISO 14172 E Ni 6182,"      550.000,        0.000",,"      360.000,        0.000","        1.000,        2.500","        0.000,        0.500", AWS/SFA -5.11:E Ni Cr Fe-3,,,,"        0.000,       10.000",,"        0.000,        1.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1190,    D & H 1212-NS,D&H 1212-NS 3.15 X 350 (2.5KG),U1 and U3 - Electrodes - SS Common,  SPL(Ni Base),"        0.000,        0.100",,,"       13.000,       17.000","       30.000,        0.000",,,"        5.00,        9.50",,,,"       60.000,      100.000","        0.000,        0.020",Satisfactory,"        0.000,        0.015","        0.000,        1.000",,EN ISO 14172 E Ni 6182,"      550.000,        0.000",,"      360.000,        0.000","        1.000,        2.500","        0.000,        0.500", AWS/SFA -5.11:E Ni Cr Fe-3,,,,"        0.000,       10.000",,"        0.000,        1.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1191,    D & H 1212-NS,D&H 1212-NS 4.00 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.100",,,"       13.000,       17.000","       30.000,        0.000",,,"        5.00,        9.50",,,,"       60.000,      100.000","        0.000,        0.020",Satisfactory,"        0.000,        0.015","        0.000,        1.000",,EN ISO 14172 E Ni 6182,"      550.000,        0.000",,"      360.000,        0.000","        1.000,        2.500","        0.000,        0.500", AWS/SFA -5.11:E Ni Cr Fe-3,,,,"        0.000,       10.000",,"        0.000,        1.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1192,    D & H 1212-NS,D&H 1212-NS 5.00 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.100",,,"       13.000,       17.000","       30.000,        0.000",,,"        5.00,        9.50",,,,"       60.000,      100.000","        0.000,        0.020",Satisfactory,"        0.000,        0.015","        0.000,        1.000",,EN ISO 14172 E Ni 6182,"      550.000,        0.000",,"      360.000,        0.000","        1.000,        2.500","        0.000,        0.500", AWS/SFA -5.11:E Ni Cr Fe-3,,,,"        0.000,       10.000",,"        0.000,        1.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1193,    D & H 1223-NS,D&H 1223-NS 2.50 X 350(2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        1.000",,,"       20.000,       23.000","       30.000,        0.000",,,"        0.000,        1.000",,"        8.000,       10.000",,"       55.000,        0.000","        0.000,        0.030",Satisfactory,"        0.000,        0.020","        0.000,        0.750",,,"      760.000,        0.000",,,"        3.150,        4.150","        0.000,        0.500",AWS/SFA : 5.11: ENiCrMo-3,,,,"        0.000,        7.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1194,    D & H 1223-NS,D&H 1223-NS 2.50 X 350(2KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        1.000",,,"       20.000,       23.000","       30.000,        0.000",,,"        0.000,        1.000",,"        8.000,       10.000",,"       55.000,        0.000","        0.000,        0.030",Satisfactory,"        0.000,        0.020","        0.000,        0.750",,,"      760.000,        0.000",,,"        3.150,        4.150","        0.000,        0.500",AWS/SFA : 5.11: ENiCrMo-3,,,,"        0.000,        7.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1195,    D & H 1223-NS,D&H 1223-NS 3.15 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        1.000",,,"       20.000,       23.000","       30.000,        0.000",,,"        0.000,        1.000",,"        8.000,       10.000",,"       55.000,        0.000","        0.000,        0.030",Satisfactory,"        0.000,        0.020","        0.000,        0.750",,EN ISO 14172 E-Ni 6625,"      760.000,        0.000",,,"        3.150,        4.150","        0.000,        0.500",AWS/SFA : 5.11: ENiCrMo-3,,,,"        0.000,        7.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1196,    D & H 1223-NS,D&H 1223-NS 4.00 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        1.000",,,"       20.000,       23.000","       30.000,        0.000",,,"        0.000,        1.000",,"        8.000,       10.000",,"       55.000,        0.000","        0.000,        0.030",Satisfactory,"        0.000,        0.020","        0.000,        0.750",,,"      760.000,        0.000",,,"        3.150,        4.150","        0.000,        0.500",AWS/SFA : 5.11: ENiCrMo-3,,,,"        0.000,        7.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1197,    D & H 1223-NS,D&H 1223-NS 5.00 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        1.000",,,"       20.000,       23.000","       30.000,        0.000",,,"        0.000,        1.000",,"        8.000,       10.000",,"       55.000,        0.000","        0.000,        0.030",Satisfactory,"        0.000,        0.020","        0.000,        0.750",,,"      760.000,        0.000",,,"        3.150,        4.150","        0.000,        0.500",AWS/SFA : 5.11: ENiCrMo-3,,,,"        0.000,        7.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1198,    D & H 1250,D&H 1250 2.50 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.150",,,,"       30.000,        0.000",,,"        0.00,        4.00",,,,"       62.000,       69.000","        0.000,        0.020",Satisfactory,"        0.000,        0.015","        0.000,        1.500",,,"      480.000,        0.000",,,,,  AWS/SFA-5.11 : E Ni Cu-7,,,,"        0.000,        2.500",,"        0.000,        1.000",,,  0.00 -0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1199,    D & H 1250,D&H 1250 2.50 X 350 (2KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.150",,,,"       30.000,        0.000",,,"        0.00,        4.00",,,,"       62.000,       69.000","        0.000,        0.020",Satisfactory,"        0.000,        0.015","        0.000,        1.500",,,"      480.000,        0.000",,,,,  AWS/SFA-5.11 : E Ni Cu-7,,,,"        0.000,        2.500",,"        0.000,        1.000",,,  0.00 -0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1200,    D & H 1250,D&H 1250 3.15 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.150",,,,"       30.000,        0.000",,,"        0.00,        4.00",,,,"       62.000,       69.000","        0.000,        0.020",Satisfactory,"        0.000,        0.015","        0.000,        1.500",,,"      480.000,        0.000",,,,,  AWS/SFA-5.11 : E Ni Cu-7,,,,"        0.000,        2.500",,"        0.000,        1.000",,,  0.00 -0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1201,    D & H 1250,D&H 1250 4.00 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.150",,,,"       30.000,        0.000",,,"        0.00,        4.00",,,,"       62.000,       69.000","        0.000,        0.020",Satisfactory,"        0.000,        0.015","        0.000,        1.500",,,"      480.000,        0.000",,,,,  AWS/SFA-5.11 : E Ni Cu-7,,,,"        0.000,        2.500",,"        0.000,        1.000",,,  0.00 -0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1202,    D & H 1280,D&H 1280 2.50 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.100",,,,"       20.000,        0.000",,,"        0.00,        0.75",,,,"       92.000,      100.000","        0.000,        0.030",Satisfactory,"        0.000,        0.020","        0.000,        1.250",,,"      410.000,        0.000",,,,"        0.000,        0.250",AWS/SFA - 5.11 : E Ni 1,,,,"        0.000,        0.750",,"        1.000,        4.000",,,0.00 -1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Satisfactory,"        0.000,        0.750",,,
1203,    D & H 1280,D&H 1280 3.15 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.100",,,,"       20.000,        0.000",,,"        0.00,        0.75",,,,"       92.000,      100.000","        0.000,        0.030",Satisfactory,"        0.000,        0.020","        0.000,        1.250",,,"      410.000,        0.000",,,,"        0.000,        0.250",AWS/SFA - 5.11 : E Ni 1,,,,"        0.000,        0.750",,"        1.000,        4.000",,,0.00 -1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Satisfactory,"        0.000,        0.750",,,
1204,    D & H 1280,D&H 1280 4.00 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.100",,,,"       20.000,        0.000",,,"        0.00,        0.75",,,,"       92.000,      100.000","        0.000,        0.030",Satisfactory,"        0.000,        0.020","        0.000,        1.250",,,"      410.000,        0.000",,,,"        0.000,        0.250",AWS/SFA - 5.11 : E Ni 1,,,,"        0.000,        0.750",,"        1.000,        4.000",,,0.00 -1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Satisfactory,"        0.000,        0.750",,,
1205,    D & H 1400,D&H 1400 2.50 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.100",,,"       14.500,       16.500","       25.000,        0.000",,,"        0.00,        1.00",,"       15.000,       17.000",,"       50.000,       60.000","        0.000,        0.040", Satisfactory,"        0.000,        0.030","        0.000,        1.000",,,"      691.000,        0.000","        0.000,        0.350",,,"        0.000,        0.500", AWS/SFA-5.11 : E Ni Cr Mo-5,,,,"        4.000,        7.000",,,,,,,,,,,"        0.000,        2.500",,,,,,,,,,,,"        3.000,        4.500",,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,"        4.000,        7.000",,,
1206,    D & H 1400,D&H 1400 3.15 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.100",,,"       14.500,       16.500","       25.000,        0.000",,,"        0.00,        1.00",,"       15.000,       17.000",,"       50.000,       60.000","        0.000,        0.040", Satisfactory,"        0.000,        0.030","        0.000,        1.000",,,"      691.000,        0.000","        0.000,        0.350",,,"        0.000,        0.500", AWS/SFA-5.11 : E Ni Cr Mo-5,,,,"        4.000,        7.000",,,,,,,,,,,"        0.000,        2.500",,,,,,,,,,,,"        3.000,        4.500",,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,"        4.000,        7.000",,,
1207,    D & H 1400,D&H 1400 4.00 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.100",,,"       14.500,       16.500","       25.000,        0.000",,,"        0.00,        1.00",,"       15.000,       17.000",,"       50.000,       60.000","        0.000,        0.040", Satisfactory,"        0.000,        0.030","        0.000,        1.000",,,"      691.000,        0.000","        0.000,        0.350",,,"        0.000,        0.500", AWS/SFA-5.11 : E Ni Cr Mo-5,,,,"        4.000,        7.000",,,,,,,,,,,"        0.000,        2.500",,,,,,,,,,,,"        3.000,        4.500",,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,"        4.000,        7.000",,,
1208,    D & H 1400(MOD),D&H 1400(MOD) 2.50 X 350,U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.020",,,"       14.500,       16.500","       25.000,        0.000",,,"        0.000,        1.000",,"       15.000,       17.000",,"       50.000,       75.000","        0.000,        0.040",Satisfactory,"        0.000,        0.030","        0.000,        0.200",,,"      690.000,        0.000","        0.000,        0.350",,,"        0.000,        0.500",AWS/SFA : 5.11: ENiCrMo-4,,,,"        4.000,        7.000",,,,,,,,,,,"        0.000,        2.500",,,,,,,,,,,,"        3.000,        4.500",,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1209,    D & H 1400(MOD),D&H 1400(MOD) 2.50 X 350 (2.5KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.020",,,"       14.500,       16.500","       25.000,        0.000",,,"        0.000,        1.000",,"       15.000,       17.000",,"       50.000,       75.000","        0.000,        0.040",Satisfactory,"        0.000,        0.030","        0.000,        0.200",,,"      690.000,        0.000","        0.000,        0.350",,,"        0.000,        0.500",AWS/SFA : 5.11: ENiCrMo-4,,,,"        4.000,        7.000",,,,,,,,,,,"        0.000,        2.500",,,,,,,,,,,,"        3.000,        4.500",,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
1210,    D & H 1400(MOD),D&H 1400(MOD) 2.50 X 350 (2KG),U3 - Electrodes - SS,  SPL(Ni Base),"        0.000,        0.020",,,"       14.500,       16.500","       25.000,        0.000",,,"        0.000,        1.000",,"       15.000,       17.000",,"       50.000,       75.000","        0.000,        0.040",Satisfactory,"        0.000,        0.030","        0.000,        0.200",,,"      690.000,        0.000","        0.000,        0.350",,,"        0.000,        0.500",AWS/SFA : 5.11: ENiCrMo-4,,,,"        4.000,        7.000",,,,,,,,,,,"        0.000,        2.500",,,,,,,,,,,,"        3.000,        4.500",,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,,,,
