,A5,AWS,Applications,Category,DIN,DIN_W,Hardness,Heat_Treated,IE-20,IE-40,IE-60,ISO,Name,Others,Properties,Redrying_Temp,Rm,Rp0,Suitable_For,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
483,,A 5.21:,"Rebuilding and or protecting parts that faces extreme abrasion with medium impact and wear plate production.
",4.0,8555: MF 10-60-G,,50-57,First layer on mild steel,,,,14700: T Fe14,OA 58,,High wear resistance and austenitic structure deposits. The deposit gives already a very good hardness in the first layer. A buffer layer with OA 4370 or OA MnCr is recommended in case of sensible base material or old hardface-layers. Weldable without protective gas.,150?24hr,,,"Cement industry, pumps, mixer blades, earthmoving equipment, dredging equipment and parts, wear plates, crushing equipment, blast furnace parts etc...",,0.7,,1.1,5.0,27.0,1.5,,,,,,,,,,,,,,,,,,,,
484,,A 5.21,Cladding and rebuilding parts that are subject to severe abrasion. ,4.0,8555: MF 10-60-G,,62-65,AW,,,,14700: T Fe15,OA 59,,"Extreme abrasion resistant with reasonable impact properties and temperature resistance up to 300ºC. Due to the combination Cr and Nb carbides the deposit structure contains very fine particles that results in excellent wear resistance against heavy abrasion. Usualy the maximum number of layers is 2 till 3 but when using a special stringer build up technick with release cracks, upto 15 layers is also possible.",150?24hr,,,"Sand and earth moving equipment such as buckets and teeth, dredge buckets, coke hammers, crushing equipment, rockwool rolls and brick industry, cement rollers, tables, Nihard and Mohard parts without buffer layer, slurry pumps, loaders, wear plates etc.
Equivalent in SMAW: Dur 62S, Dur 63Nb",,0.5,,1.0,5.0,22.0,,,,,,,,7.0,,,,,,,,,,,,,
485,,A 5.21:,Rebuilding and hardfacing wornout parts that faces extreme abrasion with low impact properties.,4.0,8555: MF 10-65-G,,62-65,AW,,,,14700: T Fe15,OA 59 H,,Extreme abrasion resistance against sand and minirals with fair impact properties and temperature resistance up to 450ºC. ,150?24hr,,,"64-66 HRc hardfacing alloy for Sand and earth moving equipment such as buckets and teeth, dredge buckets, coke hammers, crushing equipment, wear plates, rockwool rolls and brick industry",,0.4,,1.3,5.3,22.0,,,,,,,,7.0,,,,,,,,,,,,,
486,,A 5.21:,"Rebuilding and or protecting parts that faces extreme abrasion with medium impact.
",4.0,8555: MF 10-60-CGT,,48-55,First layer on mild steel,,,,14700: T Fe14,OA 60 Mo,,High wear resistance and austenitic structure deposits. The deposit gives already a very good hardness in the first layer. A buffer layer with OA 4370 or OA MnCr is recommended in case of sensible basematerial or old hardface-layers. Weldable without protective gas.,150?24hr,,,"Cement industry, pumps, mixer blades, earthmoving equipment, dredging equipment and parts, wear plates, crushing equipment, blast furnace parts etc...",,0.2,,1.05,3.7,30.5,0.6,,,,,,,,,,,,,,,,,,,,
487,,A 5.21:,"Chromium free hardfacing wire for extreme abrasion. 
Single layer on mild steel reaches a hardnerss > 60HRc. ",4.0,8555: MSG 10-GF-65-G,,61-64,1 layer,,,,14700: T Fe13,OA 60-68B,,"The hardfacing contains sufficient special carbides formed with boron and therefore has excellent resistance to abrasion from sand and minerals. The weld metal is machinable only by grinding. Stringer bead technique is recommended. The hard surfacing contains check cracks, but this does not impair wear resistance.",,,,"Cr-free Hardfacing alloy against extreme abrasion like agricultural equipment, sand, snow scratchers, stone cutting tools and mining equipment, Highway construction equipment and conveyor chains, mixing paddles, cement pumps components, etc. 2 layer hardness : 61-68HRc.",,1.1,,0.3,0.5,0.3,,1.5,,,,,,,,,,4.8,,,,,,,,,
488,,A 5.21:,Rebuilding wornout parts or protecting new machine parts to increase life that suffer from extreme abrasive wear,4.0,8555: MF 10-GF-70G,,60-64,1 layer,,,,14700: T Z Fe13,OA 60-70B,,"High C-, Cr-, B-alloyed flux-cored wire electrode which forms extremely hard carbides for extremely hard deposits on parts subject to excessively heavy abrasive wear weldable with and without protective gas. Extreme good wear resistance due to excelent first layer hardness properties. More than 1 or 2 layers should not be deposited. A Buffer layer with OA 4370 or OA MnCr is recommended in case of old layers or critical base metals..",,,,"60-70 HRc Hardfacing wire used in mining, agriculture and steel mills, conveyor chains, agriculture, construction, mixer blades, paddles, cement pumps with excelent abrasion and wear resistance against sand and minerals",,0.8,,0.6,1.8,8.2,,,,,,,,,,,,4.2,,,,,,,,,
489,,A 5.21:,Rebuilding and hardfacing wornout parts that faces heavy shock and abrasion at the same time.,4.0,8555: MF 6-55-GP,,55-57 HRc,AW,,,,14700: T Fe4,OA 600,,Very good wear resistance against abrasion combined with impact. The deposit gives already a very good hardness in the first layer. The choice for the buffer layer is depending on the base metal and not always necessary. ,150?24hr,,,"55-57 HRc hardfacing alloy against shocks and mineral wear, rollers and crushers, Mineral and brick crushing industry, Screw conveyers, carbidge recycling etc.",,3.0,,0.9,0.5,6.5,0.7,,,,,,,,,0.4,,,,,,,,,,,
490,,A 5.21:,Rebuilding and or protecting wornout parts that faces extreme abrasion attack with medium impact. ,4.0,8555: MF 10-65-GZ,,62-64,AW,,,,14700: ~T Fe14,OA 61,,Very good wear resistance even at higher temperatures. The deposit gives already a very good hardness in the first layer. A buffer layer with OA 4370 or OA MnCr is recommended in case of sensible base material or old layers. Weldable without protective gas.,150?24hr,,,"62 HRc hardfacing alloy for use in Cement, Mineral and brick industry: screws, decanters, eartmoving equipment, wear plates, dredger teeth, pumps etc. ",,,,,4.0,22.0,,,,,0.8,,,,,0.8,,1.0,,,,,,,,,
491,,A 5.21:,"Bucket teeth, conveyors, cruscher hammers, coal mine cutters, mixer blades, 
mixer blades etc. 
",4.0,8555: MF 6-55-RP,,54-56,AW,,,,14700: T Fe8,OA 612,,"This alloy offers very good resistance against general abrasion and heavy shock, all weld metal requires no buffer layer except on materials considered critical or in case of old hardfacing layers. In this Situation OA 4370, ER 100 S1 or OA MnCr is recommended.
Suited for wear parts subject to strong impact, abrasion and shock. In critical cases the interpass temperature should be kept at 270ºC for the best results. The weld metal is only machinable by grinding.Weldable without gas (open arc). (Also weldable under M21 mixed gas)",150?24hr,,,"54 HRc hardfacing alloy for wear resistant overlays, sand pumps, valve seats, dredger equipment, bucket teeth, stone crushing, hammers etc.",,1.2,,0.9,0.5,12.5,,,,,,,84.9,,,,,,,,,,,,,,
492,,A 5.21:,Rebuilding wornout parts that requires good resistance against wear and impact,4.0,8555: MF 6-60-PT,,57-59,AW,,,,14700: T Fe4,OA 615,,"Due to the several complex carbides this alloy offers very good resistance against high impact stress in combination with abrasion by metal to metal wear and heat influance, all weld metal requires no buffer layer except on materials considered critical or old hardfacing layers. In this Situation OA 4370, ER 100 S-G or OA MnCr is recommended. Suited for wear parts subject to medium impact and shock.",150?24hr,,,"58 HRc hardfacing alloy for Bucket teeth, conveyors, cruschers, mixer blades, cement rollers, mixers, loaders, mining, earthmoving equipment, carbidge recycling paddles etc.",,3.0,,1.0,0.5,6.5,1.5,,,,1.5,,84.9,,,1.1,,,,,,,,,,,
493,,A 5.21:,Rebuilding and or protecting wear parts against extreme abrasion with low impact.,4.0,8555: MF 10-70-CGZ,,66-68,AW,,,,14700: T Fe15,OA 62,,"Extreme wear resistance even at higher temperatures. The deposit gives already a High hardness in the first layer. A buffer layer is recommended in case of sensible base material or old layers. Weldable without protective gas.
Corresponding electrode: Dur 62 S",150?24hr,,,"64-68 HRc hardfacing alloy, Cement, Mineral mixing, hammers, coke wear plates etc.",,,,0.8,5.0,38.0,,,,,,,,,,,,2.0,,,,,,,,,
494,,A 5.21:,Rebuilding and or protecting wear parts that faces extreme abrasion and medium to low impact. ,4.0,8555: MF 10-65--G,,62 / 66,AW,,,,14700: T Fe15,OA 63,,Extreme wear resistance even at higher temperatures. The deposit gives already a High hardness in the first layer. A buffer layer is recommended in case of sensible base material or old layers. Weldable without protective gas,150?24hr,,,"63-67 HRc hardfacing alloy ,Fan blades, Bucket lips, Mining, Cement, Mineral hammers, coke wear plates etc.",,,,0.8,5.4,22.0,,,,,,,,7.0,,,,,,,,,,,,,
495,,A 5.21:,Rebuilding and or protecting wear parts that faces severe abrasion and stress attack. ,4.0,8555: MF 10-GF-65-CGRS,,64-67,AW,,,,14700: T Fe16,OA 63 V,,Extreme abrasion resistant combined with stress and medium impact. Eeldable without protective gas.,150?24hr,,,"64-67 HRc hardfacing alloy for Sand and earth moving equipment such as buckets and teeth, dredge buckets, coke hammers, crushing equipment, stone crushers and brick industry",,,,1.0,5.0,22.0,,,,,10.0,,,,,,,,,,,,,,,,
496,,A 5.21: special alloy,"Hardfacing and rebuilding parts that faces severe agressive abrasion in cement industry, mining and stone crushing.",4.0,8555: MF 10-65-G,,62-64,AW,,,,14700: special alloy,OA 63 VWB,,"Extreme abrasion resistant with improved impact properties when combined with OA 400 as buffer layer. Due to the combination Cr-V-W-B carbides the deposit structure contains very fine particles that results in excellent wear resistance against heavy abrasion. Usualy the maximum number of layers is 2 till 3 but when using a special stringer build up technick with release cracks, upto 15 layers is possible.",150?24hr,,,"Nihard IV segmented roller and parts without buffer layer, slurry pumps, loaders, sand and earth moving equipment such as buckets and teeth, dredge buckets, crushing equipment, rockwool rolls and brick industry, cement rollers, table segments, wear plates etc.",,0.8,,1.2000000000000002,5.25,24.5,,,,,5.5,,60.75,,,2.0,,,,,,,,,,,
497,,A 5.21:,Rebuilding wornout parts or protecting new machine parts to increase life that suffer from grinding wear combined with increased temperatures.,4.0,8555: MF-10-65-GZ,,63-65,AW,,,,14700: T Fe16,OA 64,,"High C-, Cr-, Mo-, Nb-, V-, W-alloyed flux-cored wire electrode which forms extremely hard carbides for extremely hard deposits on parts subject to excessively heavy abrasive wear weldable without protective gas. Extreme good wear resistance even at higher temperatures up to 650ºC. More than 1 or 2 layers should not be deposited. Hardness reduction at 400°C app. 4%, at 650°C app. 10%. A Buffer layer with OA 4370 or OA MnCr is recommended in case of old layers or critical base metals..
Equivalent in SMAW: Dur 64",150?24hr,,,"For fire gratings, sintering plants, augers and blast furnace bells ,gravel washing equipment, sugar mill hammer and knives, clinker crushers, coal mill rollers, screw conveyors, sintering lines, mixer blades etc.",,0.4,,1.0,5.2,21.0,7.0,,,,1.0,,55.4,7.0,,2.0,,,,,,,,,,,
498,,A 5.21:,"Hardfacing wire against heavy wear with excelent abrasion resistance against sand and minerals.

",4.0,8555: MF 2 - GF - 65 G,,64-68,AW,,,,14700: T Fe13-70-G,OA 67 NiBo,,Extreme good wear resistance even with thin coating thickness due to a high amount of Borium carbides. A extreme high hardness is already achieved in the first layer. The weld deposit will show release cracks to offer better bonding strenght with the base metal. More than 1 layer should not be deposited. A Buffer layer is recommended in case of sensitive base material or old unknown layers. OA 67 NiBo can be welded without using protective gas (open arc) but is also available as Gas shielded version.,150?24hr,,,"Mining and steel mills, conveyor chains, agriculture, construction, mixer blades, paddles, cement pumps, screw conveyers, sintering lines, earth moving equipment etc. ",,1.5,,1.2,0.5,,,3.0,,,,,,,,,,4.8,,,,,,,,,
499,,A 5.21:,Hardfacing wornout parts that requires maximum hardness in just 1 or 2 layers combined with highest wear resistance.,4.0,8555: MF-10-70-G,,67-69,AW,,,,14700: T Fe 16,OA 68 Nb,,"Extreme good wear resistance even at increased working temperatures. More than 1, maximum 2 layers should not be deposited. A Buffer layer with OA 4370, OA MnCr or ER 100 is recommended. ",150?24hr,,,"67-69 HRc hardfacing alloy, for fire gratings, sintering plants, augers and blast furnace bells ,gravel washing equipment, clinker crushers, stone recycling, screw conveyors, sintering lines, mixer blades, wear plates, earth moving equipment etc.",,0.6,,1.1,4.0,19.0,0.3,,,,0.4,,61.6,13.0,,,,,,,,,,,,,
500,23.0,5.20: E71T-11,"Tanks, boilers, steel structural works (large thickness), earthworks and construction works.",4.0,,,,AW,,,,17632-A: T 42 Z W N 1 H15,OA E-71 T-11,,"Open-arc flux cored wire (self-shielded) designed for welding thin carbon and carbon-manganese steels in all positions. Easily removable slag, versatility and manuality; suitable for welding zinc-coated plates as well. Completely free of barium salts. . To be used on DC- (DC operation, electrode negative polarity).",150?24hr,520.0,430.0,"

ASTM
EN


A 131 Gr A, B, DA 131 Gr AH32 to DH36API 5LX-
10025 S185, S235, S275, S35510028-2 P235 G H, P265 G H, P295 G H, P355 G H10113-2 S275, S35510113-3 S275, S355


 ",,1.0,,0.25,0.18,,,,,,,,,,,,,,0.8,,,,,,,,
501,,A 5.21:,Welding parts of manganesesteel that are exposed to impact and shock-like wear,4.0,8555: MF-7-250-KNP,,200-230,AW,,,,14700: T Fe 9,OA Mn14,,,150?24hr,,,"Rebuilding, buffer layers before hardfacing on steels with high carbon content, heavy impact loads, manganese steels",,13.75,,0.4,1.0,4.0,,0.55,,,,,80.3,,,,,,,,,,,,,,
502,,A 5.21:,"Rebuilding, buffer layers, rails, rails crossings, dredger teeth, blast furnace mantles etc..",4.0,8555: MF 7-300-KNP,,25-30,AW,,,,14700: T Fe9,OA Mn18Cr,,Austenitic deposit with strain hardening properties and no limmits in the number of layers. The deposit is non magnetic and can not be flame cut or machined.,150?24hr,,,"Rebuilding, buffer layers, rails, rails crossings, dredger teeth, blast furnace mantles etc.",,0.2,,0.5,1.0,14.0,0.2,1.2,,,,,,,,,,,,,,,,,,,
503,,A 5.21:,"Rebuilding heavy steel parts, buffer layers, rails, rails crossings, dredger teeth, blast furnace mantles etc..",4.0,8555: MF 7-250-KNP,,220-250,AW,,,,14700: T Fe 9,OA MnCr,,Austenitic deposit with strain hardening properties and no limmits in the number of layers. The deposit is non magnetic and can not be flame cut. ,150?24hr,,,"Rebuilding, buffer layers, rails, rails crossings, dredger teeth, blast furnace mantles",,15.7,,0.4,0.45,14.75,0.55,1.25,,,0.25,,66.65,,,,,,,,,,,,,,
504,25.0,A 5.20: E 70 T-4,"Welding outside in case high speed welding is required and protective gas is not possible or difficult. Suitable for C-Mn steels such as rails, fabrication of machinery, steel framed buildings and or heavy equipment repair. Recommended for butt assembly of rails and crossings.",4.0,,,,AW,,,,758: T 38 Z W N 3 ,OA S-70-T4R,,-   Very good welding characteristics and not sensitive for contaminations.-   Good mechanical properties and high crack resistance.-   Deposition rate up-to 20 kg/h.-   For single and multiple-pass welding of C-Mn steels.-   Excellent self shielding properties.,150?24hr,610.0,450.0,Rebuilding and joining steel parts that requires good strenght and high productivity.,,0.55,,0.2,0.2,,,,0.002,0.002,,,,,,,,,1.3,,,,,,,,
505,25.0,A 5.20: E 71 T-8JD H8,"Welding outdoors without sheltering with high deposition rates with a high basic slag. Suitable for C-Mn steels such as structural steel erection, bridge construction, fabrication of machinery, steel framed buildings and or heavy equipment repair. ",4.0,,,,AW,75.0,,,17632-A: T 42 2 Y N 2 H10,OA S-71-T8,,"OA S 71 T8 is able to Weld out of position at extreme currents and offers a Low hydrogen weld deposit. Excellent slag removal and protective gas is not required. High impact strength at low temperatures combined with excellent mechanical properties within a wide range of heat inputs.

Usable under AWS D1.8 for use on Demand Critical welds.
",,570.0,469.0,Rebuilding and joining steel parts that requires good strenght and high productivity.,,0.55,,0.2,0.19,,,,0.009000000000000001,0.006,,,,,,,,,0.6,,,,,,,,
506,22.0,5.20: E 71T-GS,"Welding outside in case high speed welding is required and protective gas is not easy to apply or possible.
",4.0,,,,AW,,,,17632-A: T 42 Z W N 1 H15,OA S-71-TGS,,"Very good welding characteristics and not sensitive for old and rusty base-materials, good mechanical properties and stable arc for welding in all positions.
 ",150?24hr,520.0,430.0,"

ASTM
EN


A 131 Gr A, B, DA 131 Gr AH32 to DH36API 5LX-
10025 S185, S235, S275, S35510028-2 P235 G H, P265 G H, P295 G H, P355 G H10113-2 S275, S35510113-3 S275, S355


 ",,0.9,,0.38,0.15,,,,,,,,,,,,,,1.4,,,,,,,,
507,,A 5.21:,Rebuilding wornout parts that faces wear and impact combined with increased working temperatures. (Excellent alloy for making cutting tools out of mild steel),4.0,8555: MF 4-60-ST,,58/60,AW,,,,14700: T Fe4,OA SS 60,,High wear resistance and similar structure as High speed tool steels. The deposit gives already a very good hardness in the first layer. A buffer layer with OA 4370 or OA MnCr is recommended in case of sensible basematerial or old Hardface-layers.,150?24hr,,,"59-62 HRc hardfacing alloy for cutting edges, wood shredders, knives, recycling equipment, HSS, High speed tool steel alloy. Cutting edges on knives and share blades, pumps, mixer blades, wood shredders etc.. (Excellent alloy for making cutting tools out of mild steel)",,0.4,,0.6,0.8,4.5,8.0,,,,1.5,,,,,2.0,,,,,,,,,,,
508,,A 5.21:,"This Ni-based alloy provides an excellent corrosion resistance combined with extreme abrasion resistance. OA WC2 (Ni) can be applied on all sorts of steels except on cast iron or Mn-steel. This alloy is the most wear resistant type in most hardfacing applications. In case of very fine dust abrasion It might happen that the matrix will be washed out and looses the imbedded Tungsten carbides, in this case another hardfacing product should be considdered.",4.0,8555: MF-21-65-CGTZ,,2400,AW,,,55.0,14700: T Ni 20,OA WC2 Ni,,2400 HV nickel based corrosion resistant hardfacing alloy containing 60% tunsten carbides. OA WC2 (Ni)  has excellent flow and wetting characteristics. Multi-layer deposits are possible and worn parts can be rebuild without removing the old material. Crushed cast carbide will guaranty a long life for several wear applications. Best to be used with shielding gas M13 (Argon with 1% Oxygen) approx. 15 litres per minute.,150?24hr,,,"Rebuilding of stabilisers and other oilfield tools where maximum protection is required. Also for augers, impellers, mixer plates in the brick and clay industry and on decanter screws or hardfacing deep drilling equipment.",,,,,,,,,,,,,,,,,,,,,,,,,,,
509,,A 5.21:,This fused tungsten carbide based alloy provides an excellent resistance against extreme abrasion wear. OA WC2-Fe can be applied on most type of steels except on cast iron or Mn-steel. This alloy is the most wear resistant type in almost any hardfacing application. ,4.0,8555: MF-21-65-GZ,,2400,AW,,,66.0,14700: T Fe 20-65-GZ,OA WC2-Fe,,2400 HV Iron and Tungsten based hardfacing alloy containing 52-58% (depending on wire diameter) tungsten carbides. OA WC2-Fe  has good welding characteristics. Multi-layer deposits are not recommended due to the extreme high hardness. Fused tungsten carbide will guaranty a long life for several wear applications. Best to be used without gas protection (self shielded).,150?24hr,,,"Rebuilding of stabilisers and other oilfield tools where maximum protection against abrasion is required. Also for augers, impellers, mixer plates in the brick and clay industry and on decanter screws or hardfacing deep drilling equipment.",,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
510,7.5,,"Soldering applications in cooling, automotive and electronic industry. Suitable for food applications due to the absence of Cadmium.  Suitable for working temperatures up to 100ºC.",5.0,,,221-224,"7,5",315.0,,,9453: S-Sn97Ag3,S-Sn97AG3,,"Used for strong brazing joints of uneven junctions with excellent flowing properties. Offers much better mechanical characteristics compare to standard PbSn soft solders.  Excellent results are obtained on stainless steel with our ""ST"" flux.",,27.0,17.0,"Steel, stainless steel, brass, copper, galvanised steels, Sn plated steels etc.",,,,,,,,,,,,,,,,,,,,,,,,,3.1,96.9,
511,25.0,A 5.17: EL 12,,9.0,8575: S1,,,"3,2",,,,14171-A: S1,S1,,,,,,"Unalloyed steels: St 33 – St 52 Ship building: A, E, AH, EH Boiler steels: HI-HIII, 17Mn4, Pipe steels: St 37.0/4 – St 52.0/4 Fine-grain steels: StE 255 – StE 420",0.3,0.475,,0.1,0.08,0.15,0.15,0.15,0.025,0.025,,,,,,,,,0.03,,,,,,,,
512,,A 5.23: EB6,,9.0,8575:,1.7374,,AW,,,,24598-A-S S CrMo5,S1 CrMo5,,Submerged arc welding (5% cromium wire) for high temperature creep resistant steels,,,,"X12CrMo5, GX12CrMo5ASTM: A182/A336 grade F5, A199/A213 grade T5, A217 grade C5, A234 grade WP5, A335 grade P5, A387 grade 5",,0.5,,0.3,0.08,6.0,,,,,,,,,,,,,,,,,,,,,
513,22.0,A 5.17: EM 12K,"Shipbuilding, piping, root welding, bridges, repair, construction, offshore, etc...",9.0,8575: S2,1.0494,,AW,,47.0,,14171-A: S2,S2,,"Solid drawn and rolled SAW wire with copper coating for improved current carrying capacity. S2 wire can be used with FL 180, FL188, FL 155 and FL 851 depending on the requirements and application.",,520.0,420.0,"A, B, D, E, St 37 - St 52-3, DIN 17 100, H I, H II, 17Mn4, 16Mo5, DIN 17 155, StE 255 - StE 355, DIN 17 102, GS-38, GS-60, DIN 1681, St 35.8, St 45.8, DIN 17 175, St 37.0 - St 52.0, DIN 1626 / 1629, St 37.4 - St 52.4, DIN 1628 / 1630, StE 290.7 TM - StE 360.7 TM, DIN 17 172, X 52",0.3,1.1,,0.125,0.11,0.15,0.15,0.15,0.025,0.025,,,,,,,,,0.03,,,,,,,,
514,24.0,5.23: EG,"Heavy construction, lifting, platforms, jackups, towers, crane building, machinery, riser pipes etc.",9.0,,,,AW,,40.0,,14171-A: S2 1NiCrMo,S2 1NiCrMo,,"High strength weld deposit with good post weld heat treatment properties. S2 1NiCrMo can be used in combination with FL 851 and FL 155, both fluxes offer low hydrogen content and excellent weldabillity in multi layer welding and narrow gab.",,855.0,760.0,"X80, AISI 4130, 8630, ASME: ASTM A302 Grade B, ASTM A336 Grade F30, ASTM A487 Class 1N, 1Q 2N, 2Q, 4130 EN: S(P)460-S(P)555",,1.0,,0.27,0.12,1.0,0.57,0.95,,,,,,,,,,,,,,,,,,,
515,20.0,A 5.23: EB2 R,"Typical applications in power generation plant include steam piping, turbines and boilers; the alloy also finds applications in the chemical and petro-chemical industries.",9.0,8575: S2 CrMo1,1.7346,,AW,60.0,,,24598-A: S CrMo1,S2 CrMo1,,"Submerged arc welding wire for high temperature creep resistant 1.25%Cr 0.5%Mo ferritic steel. These steels are used for creep resisting applications up to ~550°C.  The wire has low levels of tramp elements (eg. Sn, As, Sb and P) providing a low Bruscato Factor (X< 10 ppm) for temper embrittlement resistant applications.",,550.0,460.0,"heat and creep resistant steel, , GS 22CrMo54, G17CrMo5-5, G22CrMo5-4, 13CrMo 4-5, 16CrMo 4-4, G-17CrMo 5-5, 24CrMo5, 25CrMo4, 21 CrMo 3, 25 CrMo 4, 17CrMo55ASTM: A182 grades F11/F12, A199/A200 grade T11, A217 grades WC6/WC11, A234 grades WP11/WP12, A335 grades P11/P12, A387 grades 11/12",0.2,0.95,,0.25,0.1,1.2,0.55,,,,,,,,,,,,,,,,,,,,
516,20.0,A 5.23: EG,"Typical applications in power generation plant include steam piping, turbines and boilers; the alloy also finds applications in the chemical and petro-chemical industries.",9.0,8575: S2 CrMo2,,,AW,47.0,,,24598-A: SZCrMo2Mn,S2 CrMo2,,"Submerged arc welding wire for high temperature creep resistant 2,45%Cr 1,0%Mo ferritic steel. These steels are used for creep resisting applications up to ~550°C.  The wire has low levels of tramp elements (eg. Sn, As, Sb and P) providing a low Bruscato Factor (X< 10 ppm) for temper embrittlement resistant applications.
Recomended flux: FL 155",,550.0,470.0,"ASTM: A182 grade F22, A199/A200 grades T21/T22, A213 grade T22, A217 grade WC9, A234 grade WP22, A335 grade P22, A387 grades 21/22 10CrMo 9-10, 10CrSiMoV 7, G-17CrMo 9-10",,0.95,,0.25,0.1,2.45,1.0,,,,,,,,,,,,,,,,,,,,
517,20.0,A 5.23: EA 2,"Heat, creep-resistant and fine grain steel for working temperatures up to 500°C. Often used for pipe welding (X70). ",9.0,8575: S2Mo,1.5425,,AW,60.0,47.0,,14171-A: S2Mo,S2 Mo,0.005-0.030,,,605.0,460.0," 



MaterialsBoiler steels-Pipe steels-Fine grain steels

DINHI, HII, 17Mn4, 19Mn5,15Mo3, 16Mo3St35.8, St45.8, StE 210.7TMStE 445.7 TMStE 255 - StE 460
ENP235GH, P355GH,16Mo3P235T1/T2, P460NL2L210, L445MBS255 - S460QL1
ASTMTypicalA 285Gr CA 515Gr 70A 516Gr 70-


-17Mo3, 22Mo4, 16Mo5, 14Mo6, 15NiCuMoNb5, 17MnMoV6 4 , A335 Grade P1, Boiler steels: P235GH, P310GH, ASTM A516 grade 60, Pipe steels: L320Nb, L415Nb, L360Nb, L485Nb, X52-X70 Fine-grain steels:, S460N, P255NH, P460NH, P460NL1, Cast steels: GE 240, GE 300",,1.15,,0.2,0.11,,0.55,,0.025,0.025,,,,,,,,,,,,,,,,,
518,26.0,A 5.23: E Ni 1,"Offshore, Shipbuilding, pressure vessels, crane , pipe work",9.0,,1.6225,,AW,130.0,60.0,,14171-A: S2Ni1,S2 Ni1,,"Submerged arc welding wire for welding fine grain steels for low temperature requirements down to -60°C in apparatus, construction and offshore applications.",,530.0,420.0," 


MaterialsshipbuildingUnalloyed steelsboiler steelspipe steels-Fine grain steelsAPI-standard
DINA, B, D, E, AH 32 - EH 36St 33, St 37-2 - St 52-3H I, H III, 17Mn4, 19Mn5St 35.8, St 45.8StE 210.7 TM, StE 480.7 TMStE 255 to StE 460X 42, X65, X 70

ENsameS185 - S355-S460P235GH, P355GHP235T1/T2, P460NL2L210 - L480MBS255 - S500 (NL1,2)X 42, X65, X 70


ASTMTypicalA 258 / A 516A 662 / A 387A 738 / A 612A 299--



 ",,1.0,,0.2,0.08,,,0.9,,,,,,,,,,,,,,,,,,,
519,,A 5.23: E Ni 2,,9.0,,1.6227,,,,,,14171-A: S2Ni2,S2 Ni2,,Submerged arc welding wire for fine grain steels where high impact values are required at low temperatures.,,,,"P460N, S500N, P460NL, S500NL, 14Ni6, 12Ni14, 16Ni14
",,,,,,,,,,,,,,,,,,,,,,,,,,,
520,24.0,A 5.23: EA 4,"Heat, creep-resistant and fine grain steel for working temperatures up to 500°C. Often used for pipe welding (X70). ",9.0,8575: S3Mo,1.5426,,AW,80.0,47.0,,14171-A: S3Mo,S3 Mo,,"Increased yield and impact strength due to high manganese content, excellent welding properties in combination with FL 188F and FL 915",,550.0,470.0,"S550GD, S355JO, E335, P285NH, P310GH, S355JOCu, 16Mo3, P355N - P460N, P355NH - P460NH",,1.52,,0.15,0.12,,0.52,,,,,,,,,,,,,,,,,,,,
521,22.0,5.23: EF3,"Heavy construction, lifting, platforms, jackups, towers, crane building, machinery etc.",9.0,,,,AW,,50.0,,14171-A: S3Ni1Mo,S3 NiMo-1,,"High strength weld deposit with good impact properties down to -40°C. S3 NiMo1 can be used in combination with FL 851 and FL 155, both fluxes offer low hydrogen content and excellent weldabillity in multi layer welding and narrow gab.",,700.0,620.0,"S550QL1, fine grain steels, X70, X80, AISI 4130, 4140, 8630, 25CrMo4, 42CrMo4, 1.7218, 1.7228",,1.75,,0.2,0.12,,0.55,0.9,,,,,,,,,,,,,,,,,,,
522,17.0,A 5.23: ~EG EF6,"Applications will be found in the offshore industry, shipbuilding, pressure vessels, earthmoving equipment, cranes and general structural fabrication.",9.0,,,,as welded,,69.0,69.0,"26304-A: SZ3Ni2,5CrMo",S3 NiMoCr,,"Welding procedure (including preheat temperature, interpass temperature and PWHT) will be dependent on the base material being welded, including its thickness, and any applicable design codes. Remarkable crack resistant weld metal in combination with very low hydrogen content. Therefore, suitable for the economic processing of high-strength and low temperature fine grained structural steels. Excellent welding properties in combination with FL 155 high basic flux even in narrow gabs. To obtain optimum mechanical properties the heat input should be kept below 15 kJ/cm and interpass temperature between 100 and 150ºC.",,770.0,6.0,"S690, X80, X90, X100, S690QL1, Weldox 700, Dilimax, Naxtra 70, 10CrMo9-10, 16NiCrMo12-6, high strenght steels with yield >690N/mm2, S500Q-S690Q, S500QL-S690QL, P500Q-P690Q, P500QL1-ASTM: A514, A517. HY80, HY100, Q1(N), Oceanfit 100, Oceanfit 690",,1.6,,0.1,0.13,0.27,0.6,2.1,,,,,,,,,,,,,,,,,,,
