,C,Charpy,Cr,Cu,Diffusible Hydrogen,Elongation,Lateral,Mn,Mn + Ni + Cr + Mo + V,Mo,Ni,P,P S,S,S Ni,Si,Tensile,V,Yield,aws,conformances,ind,key features,requirements,typic_results,typical applications,Elongation_Temperature,Reduction of area,Reduction of area_Temperature,Ultimate tensile strength,Ultimate tensile strength_Temperature,Yield strength,Yield strength_Temperature,Acicular ferrite,Acicular ferrite_Temperature,Ferrite with carbide aggregate,Ferrite with carbide aggregate_Temperature,Ferrite with second phase,Ferrite with second phase_Temperature,Primary ferrite in microstructure,Primary ferrite in microstructure_Temperature,50% FATT,50% FATT_Temperature,Hardness,Hardness_Temperature,Manual metal arc_Current,Manual metal arc_Electrode,Manual metal arc_Heat input,Manual metal arc_Interpass temperature,Manual metal arc_Source,Manual metal arc_Voltage,Post weld heat treatment_Post weld heat treatment temperature,Post weld heat treatment_Post weld heat treatment time,Flux cored arc_Current,Flux cored arc_Electrode,Flux cored arc_Heat input,Flux cored arc_Interpass temperature,Flux cored arc_Source,Flux cored arc_Voltage,Submerged arc_Current,Submerged arc_Electrode,Submerged arc_Heat input,Submerged arc_Interpass temperature,Submerged arc_Source,Submerged arc_Voltage,extr,Fe,W,Co,A5,AWS,Ag,Al,Applications,B,Be,Category,DIN,DIN_W,HT_Temp,HT_Time,Hardness_Scale,Heat_Treated_As,IE-20,IE-40,IE-60,ISO,Mg,N,Name,Nb,Nb+Ta,Ni+Co,Other,Others,Properties,Redry_Time,Redrying_Temp,Rm,Rp0,Sn,Suitable_For,Ti,Zn,Zr,url
2792,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,A 5.21: ERCoCr-E,0.0,0.0,,0.0,0.0,2.0,8555: 20-G0-300-CKTZ,,0.0,,0.0,,,,,14700: RZ Co1,0.0,0.0,DUR 21 TIG,0.0,0.0,0.0,,0.0,,1.0,,,,0.0,"Stellite 21 alloy Forging tools, hot cutting and trimming tools, valve seats etc",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-21-tig
2793,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.8,A 5.13: R CoCr-E,0.0,0.0,,0.0,0.0,3.0,8555: E 20-UM-300-CKTZ,,0.0,,0.0,,16.8,,,14700: E Co1,0.0,0.0,DUR 21U,0.0,0.0,0.0,,0.0,,1.0,,,350.0,0.0,Stellite 21 alloy for cladding seats and valves etc. low friction due to high cobalt content,0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-21u
2794,0.1,,20.0,0.0,,,,1.5,,1.0,10.0,0.0,,0.0,,0.4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,15.0,49.0,36.5,A 5.21: no standard,0.0,0.0,"Dur 25 combines properties which make it suitable for a number of component applications in the aerospace industry, including parts in established military and commercial gas turbine engines. In modern engines, it has largely been replaced by newer materials such as 188 alloy, and, most recently, 230® alloy, which possess improved properties. Another area of significant usage for Dur 25 is as a bearing material, for both balls and races.",0.0,0.0,2.0,,,0.0,,0.0,,,,,14700: no standard,0.0,0.0,Dur 25 Tig,0.0,0.0,0.0,,0.0,"Dur 25 (UNS R30605) is a cobalnickelchromiutungsten alloy that combines excellent higtemperature strength with good resistance to oxidizing environments up to 1800°F (980°C) for prolonged exposures, and excellent resistance to sulfidation. It can be fabricated and formed by conventional techniques, and has been used for cast components. Other attractive features include excellent resistance to metal galling.",0.0,,925.0,499.0,0.0,Wear problems at high temperatures in case high strength is required.,0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-25-tig
2795,0.1,,23.0,0.0,,,,1.75,,2.5,20.0,0.0,,0.0,,0.5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,35.0,A 5.4: E 310 Mo-16,0.0,0.0,"Ceweld 310Mo electrodes are primarily intended for welding the clad side of 316, 316L and 317 clad steels as well as other grades of molybdenum bearing stainless steels. Ceweld 310Mo electrodes are used for the resurfacing of digesters in the paper industry",0.0,0.0,3.0,8556: E 25 22 2 NLB,1.4466,0.0,,3.0,AW,70.0,,,3581-A: E 25 20 3 R 12,0.0,0.0,310 Mo,0.0,0.0,0.0,,0.0,Ceweld 310Mo is a rutile basic electrode similar to Ceweld 4842 Ti but with molybdenum added for improved high temperature creep properties. The weld deposit is fully austenitic and corrosion resistant.,2.0,300.0,540.0,380.0,0.0,"1.4832, 1.4837, 1.4841, 1.4845, 1.4846, 1.4849, 1.4848, 1.4828, 1.4713, 1.4726, 1.4710, 1.4745, 1.4823 heat resisting stainless steel.",0.0,0.0,0.0,http://www.ceweld.nl/en/product/310-mo
2796,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,A 5.13: no standard,0.0,0.0,,0.0,0.0,3.0,8555: E 20-UM-300-CKTZ,,0.0,,0.0,,,,,14700: EZ Co1,0.0,0.0,Dur 25U,0.0,0.0,0.0,,0.0,"Dur 25U is a Cobalt based electrode developed to resist high impact load, high heat, thermal shock, hot corrosion, compression, abrasion, erosion and many other forms of attack. The weld deposit is machinable with carbide tools.",1.0,,,,0.0,"Valves in chemical and steam plants, gas turbine components, tong bits, share blades, hot forging and stamping tools, hot dies, aerospace industry, turbo charger buckets, hot liquid pumps etc.
",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-25u
2797,0.15,,14.0,0.0,,,,0.6000000000000001,,2.3,0.0,0.0,,0.0,,0.6000000000000001,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.35,0.0,13.0,,,0.0,0.0,"Hardfacing of forging presses, hot piercing dies, stretching rolls, pinch rolls, hot strip mill table rolls and back-up rolls",0.0,0.0,3.0,8555: E3-UM-50-CKRTZ,,0.0,,0.0,AW,47.5,55.0,,14700: ~E Fe3,0.0,0.0,Dur 49,0.0,0.0,0.0,,0.0,"Rutile Fe, Cr, Co and Mo based elektotrode with high hot wear resistance, tensile strenght and a high resistence against sliding wear of metallic objects.
It has a good retention of hardness up to 650°C and is non scaling up to 900° C thermo shock resistant and resistant to sudden changes of temperature.
Work hardening. Not crack sensible.The number of layers can be done as necessary. The deposit can beadditionally treated with cutting tools.",1.0,130.0,,,0.0,1.2311 40CrMnMo 71.2343 X38CrMoV 5 11.2344 X40CrMoV 5 11.2365 X32CrMoV 3 31.2367 X38CrMoV 5 31.2606 X37CrMoW 5 11.2713 55NiCrMoV 61.2714 56NiCrMoV 7,0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-49
2798,4.5,,0.0,0.0,,,,1.0,,0.0,0.0,0.0,,0.0,,28.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,A 5.13: E FeCr-A1,0.0,0.0,"Pomp bodies, mixer blades, agitator arms, concrete pumps",0.0,0.0,3.0,8555: E 10-UM-60-GR,,0.0,,4.0,AW,,,,14700: E Fe14,0.0,0.0,Dur 55,0.0,0.0,0.0,,0.0,DUR 55 is a heavy coated high efficiency hardfacing electrode with 160 % recovery. Suitable for applications subject to strong abrasive wear by minerals,1.0,350.0,,,0.0,"54-62 HRc, hardfacing loaders, buckets, pumps, cement crushing equipment, screws, mixers blades etc., excelent abrasion resistance and high wear resistance",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-55
2799,1.1,,28.0,0.0,,,,0.6000000000000001,,0.0,0.0,0.0,,0.0,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.5,61.8,,A 5.21: ERC CoCr-A,0.0,0.0,,0.0,0.0,4.0,8555: MSG 20-GF-40-CTZ,,0.0,,0.0,AW,41.5,34.5,29.5,14700: T Co2-40-CKTZ,0.0,0.0,DUR 6,0.0,0.0,0.0,,0.0,"Outstanding alloy against abrasion, thermshock and corrosion combined with high  temperatures. The  weld deposit can be machined  with tungsten tool tips and by grinding. The hardness of the weld deposit will degrease 16% at 300°C and about 30% at 600°C. Excellent alloy against thermal shock, abrasion, erosion, corrosion and cavitation at high temperature.",24.0,150.0,,,0.0,"Cladding valves, Steam-valves, high temperature liquid pumps, hot cutting tools, exhaust valves, seats, cutting knives, metal to metal wear, bearing surfaces, chemical industry, hot shear blades etc.",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-6
2800,0.135,,28.25,0.0,,,,1.0,,5.75,1.0,0.0,,0.01,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,,,,,,,,,,,,,,,,,,1.0,0.2,61.355,12.0,ASTM F75 - F1537,0.0,0.0,PTA and or laser overlay welding on wear parts that need to outlast new parts where high temperatures combined with corrosion and wear resistance is required. 3D printing of parts for medical applications as prostatic implants such as replacement hips and knee condyles.,0.0,0.0,7.0,,,0.0,,4.0,SR,,,1390.0,5823-12,0.0,0.2,Dur 6 Mo (Powder alloy F75),0.0,0.0,0.0,,0.0,CoCrMo alloys are non magnetic and offers extreem resistance against fatique. The alloy offers excelent polishing caracteristics and ensures long tool life.,0.0,,1100.0,850.0,0.0,"Replacement hips, knee parts, condyles, Gas turbine parts, fuel nozzles, orthopedic implants.",0.1,0.0,0.0,http://www.ceweld.nl/en/product/dur-6-mo-powder-alloy-f75
2801,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,4.0,,0.0,0.0,Overlay welding on wear parts that need to outlast new parts where high temperatures combined with corrosion and wear resistance is required. 3D printing of parts for medical applications according class IIa medical device in accordance with annex IX rule 8 of the MDD 93/42/EEC. Composition corresponds to “type 4” CoCr dental material according to EN ISO 22674.,0.0,0.0,7.0,,,0.0,,1.0,SR,,8.5,1432.5,22674,0.0,0.0,Dur 6 MoW,0.0,0.0,0.0,,0.0,"Dur 6 Mo is free of Ni, Be. and Cadmium according EN ISO 22674. The alloy offers extreme low friction properties combined with extreme corrosion resistance and excellent wear properties against scalling, abrasion and extreme pressure loads.",0.0,,1350.0,820.0,0.0,,0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-6-mo
2802,1.1,,28.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,1.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,62.7,,,0.0,0.0,"Outstanding alloy against abrasion, thermo-shock and corrosion combined with high temperatures. Dur 6 PTA Powder is the most widely used of the wear resistant cobalt based alloys and exhibits good all-round performance. It is regarded as the industry standard for general-purpose wear resistance applications.",0.0,0.0,7.0,,,0.0,,0.0,AW,41.5,34.5,29.5,,0.0,0.0,Dur 6 PTA Powder,0.0,0.0,0.0,,0.0,"The  alloy deposit can be machined  with tungsten tool tips and by grinding. The hardness of the deposit will degrease 16% at 300°C and about 30% at 600°C. Excellent alloy against thermal shock, abrasion, erosion, corrosion and cavitation at high temperature and excellent resistance to many forms of mechanical and chemical degradation over a wide temperature range, and retains a reasonable level of hardness up to 500°C (930°F).",0.0,,,,0.0,"Examples include valve seats and gates; pump shafts and bearings, erosion shields and rolling couples. It is often used self-mated.",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-6-pta-powder
2803,1.1,,28.0,0.0,,,,0.6000000000000001,,0.0,0.0,0.0,,0.0,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.5,64.8,5.0,A 5.21: ER CoCr-A,0.0,0.0,"Steam-valves, high temperature liquid pumps, hot cutting tools, exhaust valves. 
",0.0,0.0,2.0,8555: WSG 20-G0-40-CTZ,,0.0,,0.0,,25.0,1000.0,,14700: RZ Co2,0.0,0.0,DUR 6 TIG,0.0,0.0,0.0,,0.0,"Outstanding alloy against abrasion, thermshock and corrosion combined with high temperatures. The weld deposit can be machined with tungsten tool tips and by grinding. The hardness of the weld deposit will degreas 16% at 300°C and about 30% at 600°C. The weld deposit is high heat resistant up to 900°C. Dur 6 offers a low coefficient of friction of 0.12 and exceptional resistance to galling. It has cavitatioerosion resistance ten times that of 304 stainless steel, Dur 6 can be used to protect bearing surfaces in nolubricating conditions due to its resistance to metatmetal wear. ",0.0,,,1000.0,0.0,"Stellite 6 alloy for, Steam-valves, high temperature liquid pumps, hot cutting tools, exhaust valves and seats",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-6-tig
2804,3.85,,30.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.15,0.0,0.0,,A 5.13: E FeCr-A1,0.0,0.0,"57-61 HRc, for wear resistant hardfacing layers that are subject to high abrasion and medium impact.",0.0,0.0,3.0,8555: E10-UM-60-GRZ,,0.0,,0.0,AW,59.0,,,14700: E Fe14,0.0,0.0,Dur 60,0.0,0.0,0.0,,0.0,"Outstanding alloy against high abrasion when subjected to grinding and medium impact levels. Very good weld deposit appearance and outstanding welding properties on both AC and DC+.
 Preheating is not required.",2.0,320.0,,,0.0,"Slag crushers, Sugar cane knives, hammers, Mixer blades, Digger teeth, Guides, Coal mining, Cement mixers etc..",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-60
2805,0.6000000000000001,,9.0,0.0,,,,0.4,,0.0,0.0,0.0,,0.0,,1.7000000000000002,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,59.0,,0.0,0.0,"Suitable for deposits on mild steel, steel castings and manganese steel",0.0,0.0,3.0,8555: E6-UM-60 GP,,0.0,,0.0,AW,15.0,,,14700: E Fe6,0.0,0.0,Dur 600,0.0,0.0,0.0,,0.0,"The electrode has a soft but intensive welding character, a finstructured seam surface and excellent slaremoval properties",1.0,350.0,,,0.0,"Rollers, dredger chains, conveyors, hammers, dredger equipment, mining and earth-moving equipment",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-600
2806,0.1,,26.0,0.30000000000000004,,,,1.8,,0.30000000000000004,21.0,0.0,,0.0,,0.5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,45.0,A 5.9: ER 310,0.0,0.0,"Common applications include industrial furnaces, annealing chambers, fused salt treatment installations and boiler parts, as well as heat exchangers.",0.0,0.0,2.0,8556: SG X12CrNi 25 20,1.4842,0.0,,0.0,AW,175.0,,60.0,14343-A: W 25 20 Mn,0.0,0.0,310 Tig,0.0,0.0,0.0,,0.0,"Solid drawn ,corrosioresistant, chromiunickel wire for welding hearesistant austenitic steels of the 25% Cr, 20% Ni types. 310 has good general oxidation resistance, especially at high temperatures, due to its high Cr content. The alloy is fully austenitic and is therefore sensitive to hot cracking. The temperature limits for use under intermittent oxidation depend on cycle frequency. In no case shall a temperature of 1000°C be exceeded. This alloy can withstand relatively severe thermic shock, and is superior to type 309 L.",0.0,,590.0,3.0,0.0,"Heat resistant stainless steels: 1.4823, 1.4826, 1.4828, 1.4832, 1.4835, 1.4840, 1.4841, 1.4846, 1.4848, 1.4837, 1.4710, 1.4713, 1.4724, 1.4726, 1.4742, 1.4745, 1.4762, 1.4845, 1.4849, 253MAX15CrNiSi 25 20, G-X40CrNiSi 25 12, G-X15CrNi 25 20",0.0,0.0,0.0,http://www.ceweld.nl/en/product/310-tig
2807,4.5,,32.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,0.0,0.0,,A 5.13: E FeCr-A1,0.0,0.0,Extreme abrasion resistant hardfacing alloy offering excellent wear resistance with medium impact. To be used for applications where release cracks are needed for good bonding. ,0.0,0.0,3.0,8555: E 10-UM-65-Z,,0.0,,0.0,AW,61.5,,,14700: EZ Fe14,0.0,0.0,Dur 62 S,0.0,0.0,0.0,3.0,0.0,"Outstanding alloy against high abrasion when subjected to grinding and medium impact levels. Very good weld deposit appearance and  outstanding welding properties on both AC and DC+ with a recovery of 200% for excellent deposit performance. (Preheating is not required)
Equivalent in FCAW: OA 59, OA 60 Mo, OA 61, OA 62",0.0,,,,0.0,"Slag crushers, Mixer blades, Digger teeth, Guides, Coal mining, buckets, pumps, screws, loaders, sand winning, cement industry, wear plates, loaders etc.",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-62-s
2808,5.75,,24.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.25,0.0,0.0,,A 5.13: no standard,0.0,0.0,"This electrode with a recovery of 190% can be used for overlays with extremely abrasive and sliding wear resistance, but with low impact. For use till 450°C. ",0.0,0.0,3.0,8555: E 10-UM-65-GRZ,,0.0,,0.0,AW,58.5,60.5,63.0,14700: EZ Fe15,0.0,0.0,Dur 63 Nb,6.0,0.0,0.0,,0.0,Very economical due to the high deposition rate and excellent weldabillity without slag losses. For critical base material or old hard facing layers it is necessary to buffer with an electrode like DUR E 350 Kb / E 1101G that delivers a welding deposit of less hardness. Overlays on steel with high carbon content should be buffered with Croni 29/9 HL or 4370 HL. For the best results 2 till 3 layers should be welded.,2.0,310.0,,,0.0,"Sugar mill knives and hammers, cement mixers, clinker crushers, sintering lines, fire gratings, mixer blades, gravel washing equipment, ceramic mixer blades, extruders, crushing tables and rollers for lime stone etc.",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-63-nb
2809,5.0,,23.5,0.0,,,,0.0,,6.0,0.0,0.0,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,,A 5.13: E FeCr-E4,0.0,0.0,"This electrode with a recovery of 190% can be used for overlays with extremely abrasive and sliding wear resistance, but with middle impact.
",0.0,0.0,3.0,8555: E 10-UM-65-Z,,0.0,,0.0,AW,64.5,,42.5,14700: E Fe16,0.0,0.0,Dur 64,6.0,0.0,0.0,,0.0,"Due to the high Mcontent, abrasion resistance can be kept up to working temperatures of 600ºC ; the hardness is still 445 HRc at these temperatures. For hardfacing of more than 3 layers it is necessary to buffer with an electrode like DUR E 350 Kb that delivers a welding deposit of less hardness. Overlays on steel with high tensile strength have to be buffered with Croni 29/9 HL or 4370 HL.
Equivalent in FCAW: OA 64",0.0,,,,0.0,"Sugar mill knives and hammers, clinker crushers, sintering lines, fire gratings, mixer blades, gravel washing equipment, ceramic mixer blades, mill rollers, stone crushers, extruders etc….",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-64
2810,4.0,,28.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,AWS A 5.13/21: E FeCr-A1,0.0,0.0,,0.0,0.0,3.0,8555: E 10-UM-70-GTRZ,,0.0,,0.0,AW,69.0,,,14700: E Fe14,0.0,0.0,Dur 68 T,0.0,0.0,0.0,,0.0,Thick coated electrode with high recovery 200%. Ledeburitic weld metal structure. Application is for parts that are exposed to strong abrasive wear. Operating temperature is from RT to 300°C.,1.0,130.0,,,0.0,"Sugar mill knives and hammers, clinker crushers, sintering lines, fire gratings, mixer blades, gravel washing equipment, ceramic mixer blades, extruders etc….",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-68-t
2811,1.1,,28.0,0.0,,,,0.6000000000000001,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,4.5,63.3,,A 5.13: E CoCr-A,0.0,0.0,"43-45 HRc, stellite 6 alloy with outstanding properties against abrasion, thermo-shock and corrosion combined with high temperatures.",0.0,0.0,3.0,8555: E20-UM-40-CTZ,,0.0,,0.0,AW,41.5,34.5,29.5,14700: EZ Co2,0.0,0.0,Dur 6U,0.0,0.0,0.0,,0.0,Excelent welding properties and self detaching slag. The weld deposit can be machined with tungsten tool tips and by grinding. The hardness of the weld deposit will degreas 16% at 300°C and about 30% at 600°C. The weld deposit is high heat resistant up to 900°C. ,1.0,,,,0.0,"Steam-valves, high temperature liquid pumps, hot cutting tools, exhaust valves, pumps, plastic recycling etc.",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-6u
2812,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,96.0,0.0,0.0,,A 5.13: no standard,0.0,0.0,"For extreme wear resistance, elements as Niobium and Chromium carbides are also added to obtain a complex carbide structure. Specially used for applications subject to abrasive wear such as sand or other minerals with little impact. Recommended for the brick and clay industry or extreme high temperature applications in power plant industries.",0.0,0.0,3.0,8555: E 21-UM-65-G,,0.0,,1.0,AW,,,64.0,14700: EZ Fe20,0.0,0.0,Dur 71,4.0,0.0,0.0,,0.0,Ceweld Dur 71 is designed to offer full wear resistance and high hardness already achieved in the first layer. To be welded with low as possible current to avoid burnout of elements. ,1.0,,,,0.0,"For extreme heavy abrasion and wear applications such as, mixers and screws in the brick and clay industry, electricity powerplant srews (ash), mining, drilling etc",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-71
2813,4.0,,25.0,0.0,,,,0.0,,2.0,0.0,0.0,,0.0,,0.0,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,60.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,A 5.13: ~E FeCr-A7,0.0,0.0,"This electrode with his extreme recovery offers excellent wear resistance in high velocity, fine particle applications in which erosive wear is a major problem. Further to be used against high general wear and medium impact.        ",1.75,0.0,3.0,8555: E 10-UM-60-Z,,0.0,,4.0,AW,,,,14700: E Fe14,0.0,0.0,Dur CE-Tube 62,0.0,0.0,0.0,,0.0,"Due to the Mcontent, abrasion resistance can be kept also with increased temperatures. For hardfacing of more than 3 layers it is recommended to buffer with an electrode like DUR E 350 Kb that delivers a welding deposit of less hardness. Overlays on steel with high tensile strength should be buffered with Croni 29/9 HL or 4370 HL.
1) up to 3 times faster ! (less current with more deposit)2) No slag losses compare to 40% loss with standard electrodes.!3) Low amperage offers much lower heat input ! (see point 1)4) 6 mm is ideal to weld in position and on sharp edges !5) Moisture resistant coating even in extreme humidity conditions !",1.0,,,,0.0,"Tubular hardfacing alloy for Sugar mill knives and hammers, clinker crushers, liner plates, ripper tines, mixer blades, gravel washing equipment, ceramic mixer blades, paddles, extruders.",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-ce-tube-62
2814,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,A 5.13: no standard,0.0,0.0,"This electrode offers a extreme recovery and can be used for overlays with extremely abrasive wear resistance, but with low impact. 3 layers should be considdered as maximum.",0.0,0.0,3.0,8555: E 21 – GF – 65 –GZ,,0.0,,4.0,,,,,14700:,0.0,0.0,Dur CE-Tube WC2,0.0,0.0,0.0,,0.0,"Due to the complex carbide combination of Cobalt, Chromium, Aluminium, Zirconium and a extreme high Tungsten content the wear resistance against abrasion is 4 till 8 times better in comparison with Cr. alloys.Hard facing knowledge is based on practical experience and years of testing many different procedures and alloys. For your typical application we recommend to consult us for a tailor made welding procedure in order to achieve the best possible results for each job.1) up to 3 times faster ! (less current with more deposit)2) No slag losses compare to 40% loss with standard electrodes.!3) Low amperage offers much lower heat input ! (see point 1)4) 6 mm is ideal to weld in position and on sharp edges !5) Moisture resistant coating even in extreme humidity conditions !",0.0,,,,0.0,"Sinter plant parts, Swing hammers, Drilling surfaces, Stone crushers, Fan blades, Coke pusher shoes and crushers segments, Shovel, Cement mill parts, Earthmoving equipment, etc.",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-ce-tube-wc2
2815,0.0,,0.0,48.0,,,,0.0,,0.0,10.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,"The area to be hardfaced should be free of rust, scale, grease or other dirt. Slowly preheat the area to a maximum of 500°C (932°F). Sprinkle the surface with Ceweld Universal–Flux to prevent oxides from forming in the molten matrix during application.Once the area is properly heated,start brazing with L-CuNi10ZnF tinning rods (about 1 mm layer). Now apply DUR-CS. To make brazing easier dip the end in the brazing flux. NOTE: Do not overheat the hardfaced area. Particles can be pushed in correct position and dense configuration by using the end of the tinning Rod. Slow cooling is advised. Never cool area with water!",0.0,0.0,5.0,,,0.0,,0.0,,,,900.0,14700:,0.0,0.0,Dur CS,0.0,0.0,0.0,,0.0,"DUR– CS consists of sintered tungsten carbide fragments in a ductile nickel silver matrix. The alloy has a tensile strength of 100,000 psi. DUR–C S production methods ensure an overall tinning of the sintered tungsten carbide particles. DUR–CS composite rods are available in two grades: Wear resistant and for cutting applications.",0.0,,800.0,,0.0,"Downhole reamers, openers, fishing tools (spears), coring tools, reamers, milling tools, overshots, stabilizers, steel sawing, concrete drilling.",0.0,42.0,0.0,http://www.ceweld.nl/en/product/dur-cs
2816,0.125,,2.75,0.0,,,,1.25,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.875,0.0,0.0,,A 5.13: E Fe1,0.0,0.0,"hardfacing, rebuilding, overlays, machine parts, wheels, buffer layers, rails, crossings etc.",0.0,0.0,3.0,8555: E1-UM-300P,,0.0,,0.0,AW,290.0,300.0,315.0,14700: E Fe1,0.0,0.0,Dur E 300 Kb,0.0,0.0,0.0,,0.0,"Outstanding alloy against high impact combined with abrasion including metal to metal friction. The weld deposit of Dur E 300 Kb is an exceptional easy to apply alloy without any risk for cracks and can also be applied on austenitic manganese steels, 300 HB is usualy already almost obtained in the first layer. The weld deposit is machinable with tungsten tool tips. Very good weld deposit appearance and outstanding welding properties on both AC and DC+. Preheating is not required.",2.0,300.0,,,0.0,"Rebuilding worn machine parts, rails, crossings, Stone crushers, Hammers, Gears, Cams, bearings, rope winches etc...",0.0,0.0,0.0,http://www.ceweld.nl/en/product/dur-e-300-kb
